Spermanr;Sphere_Centres;Voxel_Indicies;AAL_Coordinates;Talairach_Coordinates
0.9222295853190224;[-30, 56, 46];[182623, 186325];[(31, 90, 56), (32, 89, 57)];[[(-28, 54, 40), 'Outside defined BAs'], [(-26, 52, 42), 'Outside defined BAs']]
0.402231106100467;[50, -34, -34];[19838, 19839, 25149, 25150, 25151, 25207, 25208, 25209, 25266, 25267, 25268];[(69, 49, 20), (70, 49, 20), (69, 45, 22), (70, 45, 22), (71, 45, 22), (69, 46, 22), (70, 46, 22), (71, 46, 22), (69, 47, 22), (70, 47, 22), (71, 47, 22)];[[(48, -28, -32), 'Outside defined BAs'], [(50, -28, -32), 'Outside defined BAs'], [(48, -36, -28), 'Outside defined BAs'], [(50, -36, -28), 'Outside defined BAs'], [(52, -36, -28), 'Outside defined BAs'], [(48, -34, -28), 'Outside defined BAs'], [(50, -34, -28), 'Outside defined BAs'], [(52, -34, -28), 'Outside defined BAs'], [(48, -32, -28), 'Outside defined BAs'], [(50, -32, -28), 'Outside defined BAs'], [(52, -32, -28), 'Outside defined BAs']]
0.3727196979478411;[-50, 36, 46];[185936, 185937, 185984];[(21, 79, 57), (22, 79, 57), (22, 80, 57)];[[(-48, 32, 42), 'Outside defined BAs'], [(-46, 32, 42), 'Outside defined BAs'], [(-46, 34, 42), 'Outside defined BAs']]
0.3028691182897256;[-50, -94, -4];[68909, 68954, 73897, 73941, 73988, 78904, 78950, 78998, 83966];[(23, 17, 33), (22, 18, 33), (23, 17, 34), (22, 18, 34), (21, 19, 34), (23, 17, 35), (22, 18, 35), (21, 19, 35), (22, 18, 36)];[[(-44, -92, -6), 'Outside defined BAs'], [(-46, -90, -6), 'Outside defined BAs'], [(-44, -92, -4), 'Outside defined BAs'], [(-46, -90, -4), 'Outside defined BAs'], [(-48, -88, -4), 'Outside defined BAs'], [(-44, -92, -2), 'Outside defined BAs'], [(-46, -90, -2), 'Outside defined BAs'], [(-48, -88, -2), 'Outside defined BAs'], [(-46, -90, 0), 'Outside defined BAs']]
0.2913455578146505;[-10, 46, -34];[18161, 18162, 18163, 20823, 20824, 20825, 20834, 20835, 20836, 20837, 20838, 20846, 20847, 20848, 20849, 20850, 20851, 20858, 20859, 20860, 20861, 20862, 20863, 20871, 20872, 20873, 20874, 20875, 20876, 20884, 20885, 20886, 20887, 20888, 20896, 20897, 20898, 23640, 23641, 23642, 23643, 23644, 23652, 23653, 23654, 23655, 23656, 23664, 23665, 23666, 23667, 23668, 23677, 23678, 23679, 23680, 23681, 23690, 23691, 23692, 23693, 23694, 26678, 26679, 26680, 26698, 26699, 26700, 26717, 26718, 26719];[(39, 83, 19), (40, 83, 19), (41, 83, 19), (39, 83, 20), (40, 83, 20), (41, 83, 20), (38, 84, 20), (39, 84, 20), (40, 84, 20), (41, 84, 20), (42, 84, 20), (38, 85, 20), (39, 85, 20), (40, 85, 20), (41, 85, 20), (42, 85, 20), (43, 85, 20), (38, 86, 20), (39, 86, 20), (40, 86, 20), (41, 86, 20), (42, 86, 20), (43, 86, 20), (38, 87, 20), (39, 87, 20), (40, 87, 20), (41, 87, 20), (42, 87, 20), (43, 87, 20), (38, 88, 20), (39, 88, 20), (40, 88, 20), (41, 88, 20), (42, 88, 20), (39, 89, 20), (40, 89, 20), (41, 89, 20), (38, 84, 21), (39, 84, 21), (40, 84, 21), (41, 84, 21), (42, 84, 21), (38, 85, 21), (39, 85, 21), (40, 85, 21), (41, 85, 21), (42, 85, 21), (38, 86, 21), (39, 86, 21), (40, 86, 21), (41, 86, 21), (42, 86, 21), (38, 87, 21), (39, 87, 21), (40, 87, 21), (41, 87, 21), (42, 87, 21), (38, 88, 21), (39, 88, 21), (40, 88, 21), (41, 88, 21), (42, 88, 21), (39, 85, 22), (40, 85, 22), (41, 85, 22), (39, 86, 22), (40, 86, 22), (41, 86, 22), (39, 87, 22), (40, 87, 22), (41, 87, 22)];[[(-12, 40, -34), 'Outside defined BAs'], [(-10, 40, -34), 'Outside defined BAs'], [(-8, 40, -34), 'Outside defined BAs'], [(-12, 40, -32), 'Outside defined BAs'], [(-10, 40, -32), 'Outside defined BAs'], [(-8, 40, -32), 'Outside defined BAs'], [(-14, 42, -32), 'Outside defined BAs'], [(-12, 42, -32), 'Outside defined BAs'], [(-10, 42, -32), 'Outside defined BAs'], [(-8, 42, -32), 'Outside defined BAs'], [(-6, 42, -32), 'Outside defined BAs'], [(-14, 44, -32), 'Outside defined BAs'], [(-12, 44, -32), 'Outside defined BAs'], [(-10, 44, -32), 'Outside defined BAs'], [(-8, 44, -32), 'Outside defined BAs'], [(-6, 44, -32), 'Outside defined BAs'], [(-4, 44, -32), 'Outside defined BAs'], [(-14, 46, -32), 'Outside defined BAs'], [(-12, 46, -32), 'Outside defined BAs'], [(-10, 46, -32), 'Outside defined BAs'], [(-8, 46, -32), 'Outside defined BAs'], [(-6, 46, -32), 'Outside defined BAs'], [(-4, 46, -32), 'Outside defined BAs'], [(-14, 48, -32), 'Outside defined BAs'], [(-12, 48, -32), 'Outside defined BAs'], [(-10, 48, -32), 'Outside defined BAs'], [(-8, 48, -32), 'Outside defined BAs'], [(-6, 48, -32), 'Outside defined BAs'], [(-4, 48, -32), 'Outside defined BAs'], [(-14, 50, -32), 'Outside defined BAs'], [(-12, 50, -32), 'Outside defined BAs'], [(-10, 50, -32), 'Outside defined BAs'], [(-8, 50, -32), 'Outside defined BAs'], [(-6, 50, -32), 'Outside defined BAs'], [(-12, 52, -32), 'Outside defined BAs'], [(-10, 52, -32), 'Outside defined BAs'], [(-8, 52, -32), 'Outside defined BAs'], [(-14, 42, -30), 'Outside defined BAs'], [(-12, 42, -30), 'Outside defined BAs'], [(-10, 42, -30), 'Outside defined BAs'], [(-8, 42, -30), 'Outside defined BAs'], [(-6, 42, -30), 'Outside defined BAs'], [(-14, 44, -30), 'Outside defined BAs'], [(-12, 44, -30), 'Outside defined BAs'], [(-10, 44, -30), 'Outside defined BAs'], [(-8, 44, -30), 'Outside defined BAs'], [(-6, 44, -30), 'Outside defined BAs'], [(-14, 46, -30), 'Outside defined BAs'], [(-12, 46, -30), 'Outside defined BAs'], [(-10, 46, -30), 'Outside defined BAs'], [(-8, 46, -30), 'Outside defined BAs'], [(-6, 46, -30), 'Outside defined BAs'], [(-14, 48, -30), 'Outside defined BAs'], [(-12, 48, -30), 'Outside defined BAs'], [(-10, 48, -30), 'Outside defined BAs'], [(-8, 48, -30), 'Outside defined BAs'], [(-6, 48, -30), 'Outside defined BAs'], [(-14, 50, -30), 'Outside defined BAs'], [(-12, 50, -30), 'Outside defined BAs'], [(-10, 50, -30), 'Outside defined BAs'], [(-8, 50, -30), 'Outside defined BAs'], [(-6, 50, -30), 'Outside defined BAs'], [(-12, 44, -28), 'Outside defined BAs'], [(-10, 44, -28), 'Outside defined BAs'], [(-8, 44, -28), 'Outside defined BAs'], [(-12, 46, -28), 'Outside defined BAs'], [(-10, 46, -28), 'Outside defined BAs'], [(-8, 46, -28), 'Outside defined BAs'], [(-12, 48, -28), 'Outside defined BAs'], [(-10, 48, -28), 'Outside defined BAs'], [(-8, 48, -28), 'Outside defined BAs']]
0.26959961338475386;[-50, -84, -24];[21000, 21044, 21045, 21046, 23770, 23812, 23813, 23856, 23857, 23858, 23859, 23906, 23907, 23908, 23909, 23910, 26891, 26892, 26933, 26934, 26935, 26936, 26979, 26980, 26981, 26982, 26983, 27027, 27028, 27029, 27030, 27031, 27076, 27077, 27078, 33488, 33526, 33564];[(21, 21, 21), (19, 22, 21), (20, 22, 21), (21, 22, 21), (22, 20, 22), (21, 21, 22), (22, 21, 22), (19, 22, 22), (20, 22, 22), (21, 22, 22), (22, 22, 22), (18, 23, 22), (19, 23, 22), (20, 23, 22), (21, 23, 22), (22, 23, 22), (22, 20, 23), (23, 20, 23), (20, 21, 23), (21, 21, 23), (22, 21, 23), (23, 21, 23), (19, 22, 23), (20, 22, 23), (21, 22, 23), (22, 22, 23), (23, 22, 23), (18, 23, 23), (19, 23, 23), (20, 23, 23), (21, 23, 23), (22, 23, 23), (19, 24, 23), (20, 24, 23), (21, 24, 23), (23, 20, 25), (23, 21, 25), (23, 22, 25)];[[(-48, -84, -30), 'Outside defined BAs'], [(-52, -82, -30), 'Outside defined BAs'], [(-50, -82, -30), 'Outside defined BAs'], [(-48, -82, -30), 'Outside defined BAs'], [(-46, -86, -28), 'Outside defined BAs'], [(-48, -84, -28), 'Outside defined BAs'], [(-46, -84, -28), 'Outside defined BAs'], [(-52, -82, -28), 'Outside defined BAs'], [(-50, -82, -28), 'Outside defined BAs'], [(-48, -82, -28), 'Outside defined BAs'], [(-46, -82, -28), 'Outside defined BAs'], [(-54, -80, -28), 'Outside defined BAs'], [(-52, -80, -28), 'Outside defined BAs'], [(-50, -80, -28), 'Outside defined BAs'], [(-48, -80, -28), 'Outside defined BAs'], [(-46, -80, -28), 'Outside defined BAs'], [(-46, -86, -26), 'Outside defined BAs'], [(-44, -86, -26), 'Outside defined BAs'], [(-50, -84, -26), 'Outside defined BAs'], [(-48, -84, -26), 'Outside defined BAs'], [(-46, -84, -26), 'Outside defined BAs'], [(-44, -84, -26), 'Outside defined BAs'], [(-52, -82, -26), 'Outside defined BAs'], [(-50, -82, -26), 'Outside defined BAs'], [(-48, -82, -26), 'Outside defined BAs'], [(-46, -82, -26), 'Outside defined BAs'], [(-44, -82, -26), 'Outside defined BAs'], [(-54, -80, -26), 'Outside defined BAs'], [(-52, -80, -26), 'Outside defined BAs'], [(-50, -80, -26), 'Outside defined BAs'], [(-48, -80, -26), 'Outside defined BAs'], [(-46, -80, -26), 'Outside defined BAs'], [(-52, -78, -26), 'Outside defined BAs'], [(-50, -78, -26), 'Outside defined BAs'], [(-48, -78, -26), 'Outside defined BAs'], [(-44, -86, -22), 'Outside defined BAs'], [(-44, -84, -22), 'Outside defined BAs'], [(-44, -82, -22), 'Outside defined BAs']]
0.2655864895841286;[-20, 16, -34];[11032, 11056, 13140, 13141, 13164, 13165, 13187, 13207, 15548, 15549, 15575, 15576, 15598, 15599, 15600, 15621, 15622, 15641, 15642, 17975, 18007, 18008, 18037, 18038, 18063, 18064, 18088, 20637, 20669, 20670, 20699, 20700, 20725, 20726, 20750, 23380, 23381, 23417, 23450];[(34, 70, 16), (34, 71, 16), (33, 69, 17), (34, 69, 17), (33, 70, 17), (34, 70, 17), (33, 71, 17), (33, 72, 17), (34, 68, 18), (35, 68, 18), (33, 69, 18), (34, 69, 18), (32, 70, 18), (33, 70, 18), (34, 70, 18), (32, 71, 18), (33, 71, 18), (32, 72, 18), (33, 72, 18), (34, 68, 19), (33, 69, 19), (34, 69, 19), (32, 70, 19), (33, 70, 19), (32, 71, 19), (33, 71, 19), (32, 72, 19), (34, 68, 20), (33, 69, 20), (34, 69, 20), (32, 70, 20), (33, 70, 20), (32, 71, 20), (33, 71, 20), (32, 72, 20), (33, 69, 21), (34, 69, 21), (33, 70, 21), (33, 71, 21)];[[(-22, 14, -40), 'Outside defined BAs'], [(-22, 16, -40), 'Outside defined BAs'], [(-24, 12, -38), 'Outside defined BAs'], [(-22, 12, -38), 'Outside defined BAs'], [(-24, 14, -38), 'Outside defined BAs'], [(-22, 14, -38), 'Outside defined BAs'], [(-24, 16, -38), 'Outside defined BAs'], [(-24, 18, -38), 'Outside defined BAs'], [(-22, 10, -36), 'Outside defined BAs'], [(-20, 10, -36), 'Outside defined BAs'], [(-24, 12, -36), 'Outside defined BAs'], [(-22, 12, -36), 'Outside defined BAs'], [(-26, 14, -36), 'Outside defined BAs'], [(-24, 14, -36), 'Outside defined BAs'], [(-22, 14, -36), 'Outside defined BAs'], [(-26, 16, -36), 'Outside defined BAs'], [(-24, 16, -36), 'Outside defined BAs'], [(-26, 18, -36), 'Outside defined BAs'], [(-24, 18, -36), 'Outside defined BAs'], [(-22, 10, -34), 'Left-Temporalpole (38)'], [(-24, 12, -34), 'Outside defined BAs'], [(-22, 12, -34), 'Outside defined BAs'], [(-26, 14, -34), 'Outside defined BAs'], [(-24, 14, -34), 'Outside defined BAs'], [(-26, 16, -34), 'Outside defined BAs'], [(-24, 16, -34), 'Outside defined BAs'], [(-26, 18, -34), 'Outside defined BAs'], [(-22, 10, -32), 'Left-Temporalpole (38)'], [(-24, 12, -32), 'Left-Temporalpole (38)'], [(-22, 12, -32), 'Left-Temporalpole (38)'], [(-26, 14, -32), 'Left-Temporalpole (38)'], [(-24, 14, -32), 'Outside defined BAs'], [(-26, 16, -32), 'Outside defined BAs'], [(-24, 16, -32), 'Outside defined BAs'], [(-26, 18, -32), 'Outside defined BAs'], [(-24, 12, -30), 'Left-Temporalpole (38)'], [(-22, 12, -30), 'Left-Temporalpole (38)'], [(-24, 14, -30), 'Left-Temporalpole (38)'], [(-24, 16, -30), 'Outside defined BAs']]
0.24920662721647016;[10, -104, 26];[138694, 138695];[(51, 13, 47), (52, 13, 47)];[[(12, -100, 22), 'Outside defined BAs'], [(14, -100, 22), 'Outside defined BAs']]
0.244158716476284;[-70, 6, -14];[48099, 48163, 52426, 52490, 57149, 57215, 57281];[(13, 65, 28), (13, 66, 28), (13, 65, 29), (13, 66, 29), (13, 65, 30), (13, 66, 30), (13, 67, 30)];[[(-64, 4, -16), 'Outside defined BAs'], [(-64, 6, -16), 'Outside defined BAs'], [(-64, 4, -14), 'Outside defined BAs'], [(-64, 6, -14), 'Outside defined BAs'], [(-64, 4, -12), 'Outside defined BAs'], [(-64, 6, -12), 'Outside defined BAs'], [(-64, 8, -12), 'Outside defined BAs']]
0.2358951929177877;[-50, -34, -34];[19810, 25099, 25100, 25101, 25157, 25158, 25159, 25216, 25217, 25218];[(21, 49, 20), (19, 45, 22), (20, 45, 22), (21, 45, 22), (19, 46, 22), (20, 46, 22), (21, 46, 22), (19, 47, 22), (20, 47, 22), (21, 47, 22)];[[(-48, -28, -32), 'Outside defined BAs'], [(-52, -36, -28), 'Outside defined BAs'], [(-50, -36, -28), 'Outside defined BAs'], [(-48, -36, -28), 'Outside defined BAs'], [(-52, -34, -28), 'Outside defined BAs'], [(-50, -34, -28), 'Outside defined BAs'], [(-48, -34, -28), 'Outside defined BAs'], [(-52, -32, -28), 'Outside defined BAs'], [(-50, -32, -28), 'Outside defined BAs'], [(-48, -32, -28), 'Outside defined BAs']]
0.22454687229078243;[10, -84, 56];[199570, 199571];[(49, 23, 62), (50, 23, 62)];[[(8, -80, 52), 'Outside defined BAs'], [(10, -80, 52), 'Outside defined BAs']]
0.21331380394135496;[10, -104, -24];[33281, 33282, 33283, 33298, 33299, 33300, 36910, 36911, 36912, 40891, 40892, 40893];[(50, 13, 25), (51, 13, 25), (52, 13, 25), (49, 14, 25), (50, 14, 25), (51, 14, 25), (50, 13, 26), (51, 13, 26), (52, 13, 26), (49, 12, 27), (50, 12, 27), (51, 12, 27)];[[(10, -100, -22), 'Outside defined BAs'], [(12, -100, -22), 'Outside defined BAs'], [(14, -100, -22), 'Outside defined BAs'], [(8, -98, -22), 'Outside defined BAs'], [(10, -98, -22), 'Outside defined BAs'], [(12, -98, -22), 'Outside defined BAs'], [(10, -100, -20), 'Outside defined BAs'], [(12, -100, -20), 'Outside defined BAs'], [(14, -100, -20), 'Outside defined BAs'], [(8, -102, -18), 'Outside defined BAs'], [(10, -102, -18), 'Outside defined BAs'], [(12, -102, -18), 'Outside defined BAs']]
0.21028615327021005;[60, -34, -34];[25212, 25271];[(74, 46, 22), (74, 47, 22)];[[(58, -34, -28), 'Outside defined BAs'], [(58, -32, -28), 'Outside defined BAs']]
0.20507444754837212;[-70, 16, 6];[97287, 102411, 107523];[(13, 70, 38), (13, 70, 39), (13, 70, 40)];[[(-64, 14, 4), 'Outside defined BAs'], [(-64, 14, 6), 'Outside defined BAs'], [(-64, 14, 8), 'Outside defined BAs']]
