Spermanr;Sphere_Centres;Voxel_Indicies;AAL_Coordinates;Talairach_Coordinates
0.9543580638405171;[-30, 56, 46];[182623, 186325];[(31, 90, 56), (32, 89, 57)];[[(-28, 54, 40), 'Outside defined BAs'], [(-26, 52, 42), 'Outside defined BAs']]
0.29979140320716857;[-40, -94, -34];[11086, 13236, 13237, 13238, 13239, 13240, 13275, 13276, 13277, 15671, 15672, 15673, 15674, 15675, 15706, 15707, 15708, 18179, 18180, 18181, 18182, 18183, 18214, 18215, 18216, 20905];[(25, 18, 17), (23, 18, 18), (24, 18, 18), (25, 18, 18), (26, 18, 18), (27, 18, 18), (24, 19, 18), (25, 19, 18), (26, 19, 18), (23, 18, 19), (24, 18, 19), (25, 18, 19), (26, 18, 19), (27, 18, 19), (24, 19, 19), (25, 19, 19), (26, 19, 19), (23, 18, 20), (24, 18, 20), (25, 18, 20), (26, 18, 20), (27, 18, 20), (24, 19, 20), (25, 19, 20), (26, 19, 20), (27, 18, 21)];[[(-40, -90, -38), 'Outside defined BAs'], [(-44, -90, -36), 'Outside defined BAs'], [(-42, -90, -36), 'Outside defined BAs'], [(-40, -90, -36), 'Outside defined BAs'], [(-38, -90, -36), 'Outside defined BAs'], [(-36, -90, -36), 'Outside defined BAs'], [(-42, -88, -36), 'Outside defined BAs'], [(-40, -88, -36), 'Outside defined BAs'], [(-38, -88, -36), 'Outside defined BAs'], [(-44, -90, -34), 'Outside defined BAs'], [(-42, -90, -34), 'Outside defined BAs'], [(-40, -90, -34), 'Outside defined BAs'], [(-38, -90, -34), 'Outside defined BAs'], [(-36, -90, -34), 'Outside defined BAs'], [(-42, -88, -34), 'Outside defined BAs'], [(-40, -88, -34), 'Outside defined BAs'], [(-38, -88, -34), 'Outside defined BAs'], [(-44, -90, -32), 'Outside defined BAs'], [(-42, -90, -32), 'Outside defined BAs'], [(-40, -90, -32), 'Outside defined BAs'], [(-38, -90, -32), 'Outside defined BAs'], [(-36, -90, -32), 'Outside defined BAs'], [(-42, -88, -32), 'Outside defined BAs'], [(-40, -88, -32), 'Outside defined BAs'], [(-38, -88, -32), 'Outside defined BAs'], [(-36, -90, -30), 'Outside defined BAs']]
0.25700818184079366;[50, -84, -24];[21043, 21091, 21092, 21093, 23811, 23854, 23855, 23902, 23903, 23904, 23905, 23953, 23954, 23955, 23956, 23957, 26931, 26932, 26975, 26976, 26977, 26978, 27022, 27023, 27024, 27025, 27026, 27070, 27071, 27072, 27073, 27074, 27124, 27125, 27126, 33525, 33562, 33563, 33606, 37190];[(69, 21, 21), (69, 22, 21), (70, 22, 21), (71, 22, 21), (68, 20, 22), (68, 21, 22), (69, 21, 22), (68, 22, 22), (69, 22, 22), (70, 22, 22), (71, 22, 22), (68, 23, 22), (69, 23, 22), (70, 23, 22), (71, 23, 22), (72, 23, 22), (67, 20, 23), (68, 20, 23), (67, 21, 23), (68, 21, 23), (69, 21, 23), (70, 21, 23), (67, 22, 23), (68, 22, 23), (69, 22, 23), (70, 22, 23), (71, 22, 23), (68, 23, 23), (69, 23, 23), (70, 23, 23), (71, 23, 23), (72, 23, 23), (69, 24, 23), (70, 24, 23), (71, 24, 23), (67, 20, 25), (67, 21, 25), (68, 21, 25), (67, 22, 25), (68, 21, 26)];[[(48, -84, -30), 'Outside defined BAs'], [(48, -82, -30), 'Outside defined BAs'], [(50, -82, -30), 'Outside defined BAs'], [(52, -82, -30), 'Outside defined BAs'], [(46, -86, -28), 'Outside defined BAs'], [(46, -84, -28), 'Outside defined BAs'], [(48, -84, -28), 'Outside defined BAs'], [(46, -82, -28), 'Outside defined BAs'], [(48, -82, -28), 'Outside defined BAs'], [(50, -82, -28), 'Outside defined BAs'], [(52, -82, -28), 'Outside defined BAs'], [(46, -80, -28), 'Outside defined BAs'], [(48, -80, -28), 'Outside defined BAs'], [(50, -80, -28), 'Outside defined BAs'], [(52, -80, -28), 'Outside defined BAs'], [(54, -80, -28), 'Outside defined BAs'], [(44, -86, -26), 'Outside defined BAs'], [(46, -86, -26), 'Outside defined BAs'], [(44, -84, -26), 'Outside defined BAs'], [(46, -84, -26), 'Outside defined BAs'], [(48, -84, -26), 'Outside defined BAs'], [(50, -84, -26), 'Outside defined BAs'], [(44, -82, -26), 'Outside defined BAs'], [(46, -82, -26), 'Outside defined BAs'], [(48, -82, -26), 'Outside defined BAs'], [(50, -82, -26), 'Outside defined BAs'], [(52, -82, -26), 'Outside defined BAs'], [(46, -80, -26), 'Outside defined BAs'], [(48, -80, -26), 'Outside defined BAs'], [(50, -80, -26), 'Outside defined BAs'], [(52, -80, -26), 'Outside defined BAs'], [(54, -80, -26), 'Outside defined BAs'], [(48, -78, -26), 'Outside defined BAs'], [(50, -78, -26), 'Outside defined BAs'], [(52, -78, -26), 'Outside defined BAs'], [(44, -86, -22), 'Outside defined BAs'], [(44, -84, -22), 'Outside defined BAs'], [(46, -84, -22), 'Outside defined BAs'], [(44, -82, -22), 'Outside defined BAs'], [(46, -84, -20), 'Outside defined BAs']]
0.23944560409670684;[-70, 6, -14];[48099, 48163, 52426, 52490, 57149, 57215, 57281];[(13, 65, 28), (13, 66, 28), (13, 65, 29), (13, 66, 29), (13, 65, 30), (13, 66, 30), (13, 67, 30)];[[(-64, 4, -16), 'Outside defined BAs'], [(-64, 6, -16), 'Outside defined BAs'], [(-64, 4, -14), 'Outside defined BAs'], [(-64, 6, -14), 'Outside defined BAs'], [(-64, 4, -12), 'Outside defined BAs'], [(-64, 6, -12), 'Outside defined BAs'], [(-64, 8, -12), 'Outside defined BAs']]
0.2387684464620115;[10, -84, 56];[199570, 199571];[(49, 23, 62), (50, 23, 62)];[[(8, -80, 52), 'Outside defined BAs'], [(10, -80, 52), 'Outside defined BAs']]
0.23209192939382278;[-50, -84, -24];[21000, 21044, 21045, 21046, 23770, 23812, 23813, 23856, 23857, 23858, 23859, 23906, 23907, 23908, 23909, 23910, 26891, 26892, 26933, 26934, 26935, 26936, 26979, 26980, 26981, 26982, 26983, 27027, 27028, 27029, 27030, 27031, 27076, 27077, 27078, 33488, 33526, 33564];[(21, 21, 21), (19, 22, 21), (20, 22, 21), (21, 22, 21), (22, 20, 22), (21, 21, 22), (22, 21, 22), (19, 22, 22), (20, 22, 22), (21, 22, 22), (22, 22, 22), (18, 23, 22), (19, 23, 22), (20, 23, 22), (21, 23, 22), (22, 23, 22), (22, 20, 23), (23, 20, 23), (20, 21, 23), (21, 21, 23), (22, 21, 23), (23, 21, 23), (19, 22, 23), (20, 22, 23), (21, 22, 23), (22, 22, 23), (23, 22, 23), (18, 23, 23), (19, 23, 23), (20, 23, 23), (21, 23, 23), (22, 23, 23), (19, 24, 23), (20, 24, 23), (21, 24, 23), (23, 20, 25), (23, 21, 25), (23, 22, 25)];[[(-48, -84, -30), 'Outside defined BAs'], [(-52, -82, -30), 'Outside defined BAs'], [(-50, -82, -30), 'Outside defined BAs'], [(-48, -82, -30), 'Outside defined BAs'], [(-46, -86, -28), 'Outside defined BAs'], [(-48, -84, -28), 'Outside defined BAs'], [(-46, -84, -28), 'Outside defined BAs'], [(-52, -82, -28), 'Outside defined BAs'], [(-50, -82, -28), 'Outside defined BAs'], [(-48, -82, -28), 'Outside defined BAs'], [(-46, -82, -28), 'Outside defined BAs'], [(-54, -80, -28), 'Outside defined BAs'], [(-52, -80, -28), 'Outside defined BAs'], [(-50, -80, -28), 'Outside defined BAs'], [(-48, -80, -28), 'Outside defined BAs'], [(-46, -80, -28), 'Outside defined BAs'], [(-46, -86, -26), 'Outside defined BAs'], [(-44, -86, -26), 'Outside defined BAs'], [(-50, -84, -26), 'Outside defined BAs'], [(-48, -84, -26), 'Outside defined BAs'], [(-46, -84, -26), 'Outside defined BAs'], [(-44, -84, -26), 'Outside defined BAs'], [(-52, -82, -26), 'Outside defined BAs'], [(-50, -82, -26), 'Outside defined BAs'], [(-48, -82, -26), 'Outside defined BAs'], [(-46, -82, -26), 'Outside defined BAs'], [(-44, -82, -26), 'Outside defined BAs'], [(-54, -80, -26), 'Outside defined BAs'], [(-52, -80, -26), 'Outside defined BAs'], [(-50, -80, -26), 'Outside defined BAs'], [(-48, -80, -26), 'Outside defined BAs'], [(-46, -80, -26), 'Outside defined BAs'], [(-52, -78, -26), 'Outside defined BAs'], [(-50, -78, -26), 'Outside defined BAs'], [(-48, -78, -26), 'Outside defined BAs'], [(-44, -86, -22), 'Outside defined BAs'], [(-44, -84, -22), 'Outside defined BAs'], [(-44, -82, -22), 'Outside defined BAs']]
0.22796288407678567;[20, 16, -34];[11033, 13142, 13166, 13188, 15550, 15577, 15601, 15602, 15623, 15624, 15643, 17976, 18009, 18010, 18039, 18040, 18065, 18066, 18089, 20638, 20671, 20672, 20701, 20702, 20727, 20728, 20751, 23382, 23383, 23418, 23451];[(56, 70, 16), (57, 69, 17), (57, 70, 17), (57, 71, 17), (56, 68, 18), (57, 69, 18), (57, 70, 18), (58, 70, 18), (57, 71, 18), (58, 71, 18), (58, 72, 18), (56, 68, 19), (56, 69, 19), (57, 69, 19), (57, 70, 19), (58, 70, 19), (57, 71, 19), (58, 71, 19), (58, 72, 19), (56, 68, 20), (56, 69, 20), (57, 69, 20), (57, 70, 20), (58, 70, 20), (57, 71, 20), (58, 71, 20), (58, 72, 20), (56, 69, 21), (57, 69, 21), (57, 70, 21), (57, 71, 21)];[[(22, 14, -40), 'Outside defined BAs'], [(24, 12, -38), 'Outside defined BAs'], [(24, 14, -38), 'Outside defined BAs'], [(24, 16, -38), 'Outside defined BAs'], [(22, 10, -36), 'Outside defined BAs'], [(24, 12, -36), 'Outside defined BAs'], [(24, 14, -36), 'Outside defined BAs'], [(26, 14, -36), 'Outside defined BAs'], [(24, 16, -36), 'Outside defined BAs'], [(26, 16, -36), 'Outside defined BAs'], [(26, 18, -36), 'Outside defined BAs'], [(22, 10, -34), 'Right-Temporalpole (38)'], [(22, 12, -34), 'Outside defined BAs'], [(24, 12, -34), 'Right-Temporalpole (38)'], [(24, 14, -34), 'Outside defined BAs'], [(26, 14, -34), 'Right-Temporalpole (38)'], [(24, 16, -34), 'Outside defined BAs'], [(26, 16, -34), 'Outside defined BAs'], [(26, 18, -34), 'Outside defined BAs'], [(22, 10, -32), 'Right-Temporalpole (38)'], [(22, 12, -32), 'Outside defined BAs'], [(24, 12, -32), 'Right-Temporalpole (38)'], [(24, 14, -32), 'Outside defined BAs'], [(26, 14, -32), 'Right-Temporalpole (38)'], [(24, 16, -32), 'Outside defined BAs'], [(26, 16, -32), 'Outside defined BAs'], [(26, 18, -32), 'Outside defined BAs'], [(22, 12, -30), 'Outside defined BAs'], [(24, 12, -30), 'Right-Temporalpole (38)'], [(24, 14, -30), 'Outside defined BAs'], [(24, 16, -30), 'Outside defined BAs']]
0.20334194963430735;[10, 26, -34];[18128, 20790, 23545, 23546, 23547, 23548, 23549, 23571, 23572, 23573, 23574, 23575, 23589, 23590, 23591, 23592, 23593, 26495, 26496, 26497, 26511, 26512, 26513, 26529, 26530, 26531];[(49, 79, 19), (49, 79, 20), (48, 74, 21), (49, 74, 21), (50, 74, 21), (51, 74, 21), (52, 74, 21), (48, 75, 21), (49, 75, 21), (50, 75, 21), (51, 75, 21), (52, 75, 21), (48, 76, 21), (49, 76, 21), (50, 76, 21), (51, 76, 21), (52, 76, 21), (49, 75, 22), (50, 75, 22), (51, 75, 22), (49, 76, 22), (50, 76, 22), (51, 76, 22), (49, 77, 22), (50, 77, 22), (51, 77, 22)];[[(8, 32, -34), 'Outside defined BAs'], [(8, 32, -32), 'Outside defined BAs'], [(6, 22, -30), 'Outside defined BAs'], [(8, 22, -30), 'Outside defined BAs'], [(10, 22, -30), 'Outside defined BAs'], [(12, 22, -30), 'Outside defined BAs'], [(14, 22, -30), 'Outside defined BAs'], [(6, 24, -30), 'Outside defined BAs'], [(8, 24, -30), 'Outside defined BAs'], [(10, 24, -30), 'Outside defined BAs'], [(12, 24, -30), 'Outside defined BAs'], [(14, 24, -30), 'Outside defined BAs'], [(6, 26, -30), 'Outside defined BAs'], [(8, 26, -30), 'Outside defined BAs'], [(10, 26, -30), 'Outside defined BAs'], [(12, 26, -30), 'Outside defined BAs'], [(14, 26, -30), 'Outside defined BAs'], [(8, 24, -28), 'Outside defined BAs'], [(10, 24, -28), 'Outside defined BAs'], [(12, 24, -28), 'Outside defined BAs'], [(8, 26, -28), 'Outside defined BAs'], [(10, 26, -28), 'Outside defined BAs'], [(12, 26, -28), 'Outside defined BAs'], [(8, 28, -28), 'Outside defined BAs'], [(10, 28, -28), 'Outside defined BAs'], [(12, 28, -28), 'Outside defined BAs']]
0.20136890917522027;[50, -34, -34];[19838, 19839, 25149, 25150, 25151, 25207, 25208, 25209, 25266, 25267, 25268];[(69, 49, 20), (70, 49, 20), (69, 45, 22), (70, 45, 22), (71, 45, 22), (69, 46, 22), (70, 46, 22), (71, 46, 22), (69, 47, 22), (70, 47, 22), (71, 47, 22)];[[(48, -28, -32), 'Outside defined BAs'], [(50, -28, -32), 'Outside defined BAs'], [(48, -36, -28), 'Outside defined BAs'], [(50, -36, -28), 'Outside defined BAs'], [(52, -36, -28), 'Outside defined BAs'], [(48, -34, -28), 'Outside defined BAs'], [(50, -34, -28), 'Outside defined BAs'], [(52, -34, -28), 'Outside defined BAs'], [(48, -32, -28), 'Outside defined BAs'], [(50, -32, -28), 'Outside defined BAs'], [(52, -32, -28), 'Outside defined BAs']]
0.19936572860560287;[-70, 16, 6];[97287, 102411, 107523];[(13, 70, 38), (13, 70, 39), (13, 70, 40)];[[(-64, 14, 4), 'Outside defined BAs'], [(-64, 14, 6), 'Outside defined BAs'], [(-64, 14, 8), 'Outside defined BAs']]
