Spermanr;Sphere_Centres;Voxel_Indicies;AAL_Coordinates;Talairach_Coordinates
0.5541728131439023;[-30, 56, 46];[182623, 186325];[(31, 90, 56), (32, 89, 57)];[[(-28, 54, 40), 'Outside defined BAs'], [(-26, 52, 42), 'Outside defined BAs']]
0.3947082597767222;[-50, -74, -54];[29, 30, 59, 60, 61, 62, 63, 98, 99, 100, 101, 102, 140, 141, 142, 143, 144, 185, 186, 187, 188, 189, 234, 235, 236, 580, 581, 610, 611, 612, 613, 614, 649, 650, 651, 652, 653, 691, 692, 693, 694, 695, 736, 737, 738, 739, 740, 785, 786, 787, 1743, 1744, 1745, 1785, 1786, 1787, 1788, 1831, 1832, 1833, 1834, 1878, 1879, 1880, 1881, 1882, 1929, 1930, 1931, 1932, 1933, 3058, 3059, 3060, 3104, 3105, 3106, 3152, 3153, 3154];[(21, 24, 9), (22, 24, 9), (19, 25, 9), (20, 25, 9), (21, 25, 9), (22, 25, 9), (23, 25, 9), (19, 26, 9), (20, 26, 9), (21, 26, 9), (22, 26, 9), (23, 26, 9), (19, 27, 9), (20, 27, 9), (21, 27, 9), (22, 27, 9), (23, 27, 9), (18, 28, 9), (19, 28, 9), (20, 28, 9), (21, 28, 9), (22, 28, 9), (19, 29, 9), (20, 29, 9), (21, 29, 9), (21, 24, 10), (22, 24, 10), (19, 25, 10), (20, 25, 10), (21, 25, 10), (22, 25, 10), (23, 25, 10), (19, 26, 10), (20, 26, 10), (21, 26, 10), (22, 26, 10), (23, 26, 10), (19, 27, 10), (20, 27, 10), (21, 27, 10), (22, 27, 10), (23, 27, 10), (18, 28, 10), (19, 28, 10), (20, 28, 10), (21, 28, 10), (22, 28, 10), (19, 29, 10), (20, 29, 10), (21, 29, 10), (20, 24, 11), (21, 24, 11), (22, 24, 11), (19, 25, 11), (20, 25, 11), (21, 25, 11), (22, 25, 11), (19, 26, 11), (20, 26, 11), (21, 26, 11), (22, 26, 11), (18, 27, 11), (19, 27, 11), (20, 27, 11), (21, 27, 11), (22, 27, 11), (18, 28, 11), (19, 28, 11), (20, 28, 11), (21, 28, 11), (22, 28, 11), (19, 25, 12), (20, 25, 12), (21, 25, 12), (19, 26, 12), (20, 26, 12), (21, 26, 12), (19, 27, 12), (20, 27, 12), (21, 27, 12)];[[(-48, -78, -54), 'Outside defined BAs'], [(-46, -78, -54), 'Outside defined BAs'], [(-52, -76, -54), 'Outside defined BAs'], [(-50, -76, -54), 'Outside defined BAs'], [(-48, -76, -54), 'Outside defined BAs'], [(-46, -76, -54), 'Outside defined BAs'], [(-44, -76, -54), 'Outside defined BAs'], [(-52, -74, -54), 'Outside defined BAs'], [(-50, -74, -54), 'Outside defined BAs'], [(-48, -74, -54), 'Outside defined BAs'], [(-46, -74, -54), 'Outside defined BAs'], [(-44, -74, -54), 'Outside defined BAs'], [(-52, -72, -54), 'Outside defined BAs'], [(-50, -72, -54), 'Outside defined BAs'], [(-48, -72, -54), 'Outside defined BAs'], [(-46, -72, -54), 'Outside defined BAs'], [(-44, -72, -54), 'Outside defined BAs'], [(-54, -70, -54), 'Outside defined BAs'], [(-52, -70, -54), 'Outside defined BAs'], [(-50, -70, -54), 'Outside defined BAs'], [(-48, -70, -54), 'Outside defined BAs'], [(-46, -70, -54), 'Outside defined BAs'], [(-52, -68, -54), 'Outside defined BAs'], [(-50, -68, -54), 'Outside defined BAs'], [(-48, -68, -54), 'Outside defined BAs'], [(-48, -78, -52), 'Outside defined BAs'], [(-46, -78, -52), 'Outside defined BAs'], [(-52, -76, -52), 'Outside defined BAs'], [(-50, -76, -52), 'Outside defined BAs'], [(-48, -76, -52), 'Outside defined BAs'], [(-46, -76, -52), 'Outside defined BAs'], [(-44, -76, -52), 'Outside defined BAs'], [(-52, -74, -52), 'Outside defined BAs'], [(-50, -74, -52), 'Outside defined BAs'], [(-48, -74, -52), 'Outside defined BAs'], [(-46, -74, -52), 'Outside defined BAs'], [(-44, -74, -52), 'Outside defined BAs'], [(-52, -72, -52), 'Outside defined BAs'], [(-50, -72, -52), 'Outside defined BAs'], [(-48, -72, -52), 'Outside defined BAs'], [(-46, -72, -52), 'Outside defined BAs'], [(-44, -72, -52), 'Outside defined BAs'], [(-54, -70, -52), 'Outside defined BAs'], [(-52, -70, -52), 'Outside defined BAs'], [(-50, -70, -52), 'Outside defined BAs'], [(-48, -70, -52), 'Outside defined BAs'], [(-46, -70, -52), 'Outside defined BAs'], [(-52, -68, -52), 'Outside defined BAs'], [(-50, -68, -52), 'Outside defined BAs'], [(-48, -68, -52), 'Outside defined BAs'], [(-50, -78, -50), 'Outside defined BAs'], [(-48, -78, -50), 'Outside defined BAs'], [(-46, -78, -50), 'Outside defined BAs'], [(-52, -76, -50), 'Outside defined BAs'], [(-50, -76, -50), 'Outside defined BAs'], [(-48, -76, -50), 'Outside defined BAs'], [(-46, -76, -50), 'Outside defined BAs'], [(-52, -74, -50), 'Outside defined BAs'], [(-50, -74, -50), 'Outside defined BAs'], [(-48, -74, -50), 'Outside defined BAs'], [(-46, -74, -50), 'Outside defined BAs'], [(-54, -72, -50), 'Outside defined BAs'], [(-52, -72, -50), 'Outside defined BAs'], [(-50, -72, -50), 'Outside defined BAs'], [(-48, -72, -50), 'Outside defined BAs'], [(-46, -72, -50), 'Outside defined BAs'], [(-54, -70, -50), 'Outside defined BAs'], [(-52, -70, -50), 'Outside defined BAs'], [(-50, -70, -50), 'Outside defined BAs'], [(-48, -70, -50), 'Outside defined BAs'], [(-46, -70, -50), 'Outside defined BAs'], [(-52, -76, -48), 'Outside defined BAs'], [(-50, -76, -48), 'Outside defined BAs'], [(-48, -76, -48), 'Outside defined BAs'], [(-52, -74, -48), 'Outside defined BAs'], [(-50, -74, -48), 'Outside defined BAs'], [(-48, -74, -48), 'Outside defined BAs'], [(-52, -72, -48), 'Outside defined BAs'], [(-50, -72, -48), 'Outside defined BAs'], [(-48, -72, -48), 'Outside defined BAs']]
0.31983145237363925;[40, -84, -54];[5, 6, 7, 8, 23, 24, 25, 26, 27, 52, 53, 54, 556, 557, 558, 559, 574, 575, 576, 577, 578, 603, 604, 605, 1637, 1638, 1639, 1640, 1641, 1666, 1667, 1668, 1669, 1670, 1699, 1700, 1701, 1702, 1703, 1735, 1736, 1737, 1738, 1739, 2908, 2909, 2910, 2937, 2938, 2939, 2972, 2973, 2974];[(63, 22, 9), (64, 22, 9), (65, 22, 9), (66, 22, 9), (63, 23, 9), (64, 23, 9), (65, 23, 9), (66, 23, 9), (67, 23, 9), (64, 24, 9), (65, 24, 9), (66, 24, 9), (63, 22, 10), (64, 22, 10), (65, 22, 10), (66, 22, 10), (63, 23, 10), (64, 23, 10), (65, 23, 10), (66, 23, 10), (67, 23, 10), (64, 24, 10), (65, 24, 10), (66, 24, 10), (63, 20, 11), (64, 20, 11), (65, 20, 11), (66, 20, 11), (67, 20, 11), (63, 21, 11), (64, 21, 11), (65, 21, 11), (66, 21, 11), (67, 21, 11), (63, 22, 11), (64, 22, 11), (65, 22, 11), (66, 22, 11), (67, 22, 11), (63, 23, 11), (64, 23, 11), (65, 23, 11), (66, 23, 11), (67, 23, 11), (64, 20, 12), (65, 20, 12), (66, 20, 12), (64, 21, 12), (65, 21, 12), (66, 21, 12), (64, 22, 12), (65, 22, 12), (66, 22, 12)];[[(36, -82, -54), 'Outside defined BAs'], [(38, -82, -54), 'Outside defined BAs'], [(40, -82, -54), 'Outside defined BAs'], [(42, -82, -54), 'Outside defined BAs'], [(36, -80, -54), 'Outside defined BAs'], [(38, -80, -54), 'Outside defined BAs'], [(40, -80, -54), 'Outside defined BAs'], [(42, -80, -54), 'Outside defined BAs'], [(44, -80, -54), 'Outside defined BAs'], [(38, -78, -54), 'Outside defined BAs'], [(40, -78, -54), 'Outside defined BAs'], [(42, -78, -54), 'Outside defined BAs'], [(36, -82, -52), 'Outside defined BAs'], [(38, -82, -52), 'Outside defined BAs'], [(40, -82, -52), 'Outside defined BAs'], [(42, -82, -52), 'Outside defined BAs'], [(36, -80, -52), 'Outside defined BAs'], [(38, -80, -52), 'Outside defined BAs'], [(40, -80, -52), 'Outside defined BAs'], [(42, -80, -52), 'Outside defined BAs'], [(44, -80, -52), 'Outside defined BAs'], [(38, -78, -52), 'Outside defined BAs'], [(40, -78, -52), 'Outside defined BAs'], [(42, -78, -52), 'Outside defined BAs'], [(36, -86, -50), 'Outside defined BAs'], [(38, -86, -50), 'Outside defined BAs'], [(40, -86, -50), 'Outside defined BAs'], [(42, -86, -50), 'Outside defined BAs'], [(44, -86, -50), 'Outside defined BAs'], [(36, -84, -50), 'Outside defined BAs'], [(38, -84, -50), 'Outside defined BAs'], [(40, -84, -50), 'Outside defined BAs'], [(42, -84, -50), 'Outside defined BAs'], [(44, -84, -50), 'Outside defined BAs'], [(36, -82, -50), 'Outside defined BAs'], [(38, -82, -50), 'Outside defined BAs'], [(40, -82, -50), 'Outside defined BAs'], [(42, -82, -50), 'Outside defined BAs'], [(44, -82, -50), 'Outside defined BAs'], [(36, -80, -50), 'Outside defined BAs'], [(38, -80, -50), 'Outside defined BAs'], [(40, -80, -50), 'Outside defined BAs'], [(42, -80, -50), 'Outside defined BAs'], [(44, -80, -50), 'Outside defined BAs'], [(38, -86, -48), 'Outside defined BAs'], [(40, -86, -48), 'Outside defined BAs'], [(42, -86, -48), 'Outside defined BAs'], [(38, -84, -48), 'Outside defined BAs'], [(40, -84, -48), 'Outside defined BAs'], [(42, -84, -48), 'Outside defined BAs'], [(38, -82, -48), 'Outside defined BAs'], [(40, -82, -48), 'Outside defined BAs'], [(42, -82, -48), 'Outside defined BAs']]
0.3175106985153748;[60, -64, -44];[3308, 3363, 3419, 3420, 3477, 3478, 3535, 4694, 4748, 4749, 4804, 4805, 4806, 4862, 4863, 4864, 4921, 6149, 6208, 6209, 6210, 6268, 6269, 6270, 6271, 6329, 6330, 6331, 6332, 6390, 6391, 6392, 6393, 6452, 6453, 6454, 6513, 6514, 7813, 7872, 7873, 7874, 7932, 7933, 7934, 7935, 7993, 7994, 7995, 7996, 8054, 8055, 8056, 8057, 8116, 8117, 8118, 8177, 8178, 9681, 9682, 9683, 9742, 9743, 9744, 9803, 9804, 9805, 9864, 9865, 9866, 9925, 9926, 9927, 11764, 11765, 11825, 11826, 11886, 11887];[(73, 29, 12), (73, 30, 12), (73, 31, 12), (74, 31, 12), (73, 32, 12), (74, 32, 12), (73, 33, 12), (73, 29, 13), (72, 30, 13), (73, 30, 13), (72, 31, 13), (73, 31, 13), (74, 31, 13), (72, 32, 13), (73, 32, 13), (74, 32, 13), (73, 33, 13), (74, 28, 14), (73, 29, 14), (74, 29, 14), (75, 29, 14), (72, 30, 14), (73, 30, 14), (74, 30, 14), (75, 30, 14), (72, 31, 14), (73, 31, 14), (74, 31, 14), (75, 31, 14), (72, 32, 14), (73, 32, 14), (74, 32, 14), (75, 32, 14), (73, 33, 14), (74, 33, 14), (75, 33, 14), (74, 34, 14), (75, 34, 14), (74, 28, 15), (73, 29, 15), (74, 29, 15), (75, 29, 15), (72, 30, 15), (73, 30, 15), (74, 30, 15), (75, 30, 15), (72, 31, 15), (73, 31, 15), (74, 31, 15), (75, 31, 15), (72, 32, 15), (73, 32, 15), (74, 32, 15), (75, 32, 15), (73, 33, 15), (74, 33, 15), (75, 33, 15), (74, 34, 15), (75, 34, 15), (73, 29, 16), (74, 29, 16), (75, 29, 16), (73, 30, 16), (74, 30, 16), (75, 30, 16), (73, 31, 16), (74, 31, 16), (75, 31, 16), (73, 32, 16), (74, 32, 16), (75, 32, 16), (73, 33, 16), (74, 33, 16), (75, 33, 16), (74, 30, 17), (75, 30, 17), (74, 31, 17), (75, 31, 17), (74, 32, 17), (75, 32, 17)];[[(56, -68, -48), 'Outside defined BAs'], [(56, -66, -48), 'Outside defined BAs'], [(56, -64, -48), 'Outside defined BAs'], [(58, -64, -48), 'Outside defined BAs'], [(56, -62, -48), 'Outside defined BAs'], [(58, -62, -48), 'Outside defined BAs'], [(56, -60, -48), 'Outside defined BAs'], [(56, -68, -46), 'Outside defined BAs'], [(54, -66, -46), 'Outside defined BAs'], [(56, -66, -46), 'Outside defined BAs'], [(54, -64, -46), 'Outside defined BAs'], [(56, -64, -46), 'Outside defined BAs'], [(58, -64, -46), 'Outside defined BAs'], [(54, -62, -46), 'Outside defined BAs'], [(56, -62, -46), 'Outside defined BAs'], [(58, -62, -46), 'Outside defined BAs'], [(56, -60, -46), 'Outside defined BAs'], [(58, -70, -44), 'Outside defined BAs'], [(56, -68, -44), 'Outside defined BAs'], [(58, -68, -44), 'Outside defined BAs'], [(60, -68, -44), 'Outside defined BAs'], [(54, -66, -44), 'Outside defined BAs'], [(56, -66, -44), 'Outside defined BAs'], [(58, -66, -44), 'Outside defined BAs'], [(60, -66, -44), 'Outside defined BAs'], [(54, -64, -44), 'Outside defined BAs'], [(56, -64, -44), 'Outside defined BAs'], [(58, -64, -44), 'Outside defined BAs'], [(60, -64, -44), 'Outside defined BAs'], [(54, -62, -44), 'Outside defined BAs'], [(56, -62, -44), 'Outside defined BAs'], [(58, -62, -44), 'Outside defined BAs'], [(60, -62, -44), 'Outside defined BAs'], [(56, -60, -44), 'Outside defined BAs'], [(58, -60, -44), 'Outside defined BAs'], [(60, -60, -44), 'Outside defined BAs'], [(58, -58, -44), 'Outside defined BAs'], [(60, -58, -44), 'Outside defined BAs'], [(58, -70, -42), 'Outside defined BAs'], [(56, -68, -42), 'Outside defined BAs'], [(58, -68, -42), 'Outside defined BAs'], [(60, -68, -42), 'Outside defined BAs'], [(54, -66, -42), 'Outside defined BAs'], [(56, -66, -42), 'Outside defined BAs'], [(58, -66, -42), 'Outside defined BAs'], [(60, -66, -42), 'Outside defined BAs'], [(54, -64, -42), 'Outside defined BAs'], [(56, -64, -42), 'Outside defined BAs'], [(58, -64, -42), 'Outside defined BAs'], [(60, -64, -42), 'Outside defined BAs'], [(54, -62, -42), 'Outside defined BAs'], [(56, -62, -42), 'Outside defined BAs'], [(58, -62, -42), 'Outside defined BAs'], [(60, -62, -42), 'Outside defined BAs'], [(56, -60, -42), 'Outside defined BAs'], [(58, -60, -42), 'Outside defined BAs'], [(60, -60, -42), 'Outside defined BAs'], [(58, -58, -42), 'Outside defined BAs'], [(60, -58, -42), 'Outside defined BAs'], [(56, -68, -40), 'Outside defined BAs'], [(58, -68, -40), 'Outside defined BAs'], [(60, -68, -40), 'Outside defined BAs'], [(56, -66, -40), 'Outside defined BAs'], [(58, -66, -40), 'Outside defined BAs'], [(60, -66, -40), 'Outside defined BAs'], [(56, -64, -40), 'Outside defined BAs'], [(58, -64, -40), 'Outside defined BAs'], [(60, -64, -40), 'Outside defined BAs'], [(56, -62, -40), 'Outside defined BAs'], [(58, -62, -40), 'Outside defined BAs'], [(60, -62, -40), 'Outside defined BAs'], [(56, -60, -40), 'Outside defined BAs'], [(58, -60, -40), 'Outside defined BAs'], [(60, -60, -40), 'Outside defined BAs'], [(58, -66, -38), 'Outside defined BAs'], [(60, -66, -38), 'Outside defined BAs'], [(58, -64, -38), 'Outside defined BAs'], [(60, -64, -38), 'Outside defined BAs'], [(58, -62, -38), 'Outside defined BAs'], [(60, -62, -38), 'Outside defined BAs']]
0.25300004910314233;[-50, 46, 36];[161526, 161527, 165931, 170224, 170273, 170320];[(20, 85, 51), (21, 85, 51), (22, 84, 52), (21, 83, 53), (22, 84, 53), (23, 85, 53)];[[(-50, 44, 30), 'Outside defined BAs'], [(-48, 44, 30), 'Outside defined BAs'], [(-46, 42, 32), 'Outside defined BAs'], [(-48, 40, 34), 'Outside defined BAs'], [(-46, 42, 34), 'Outside defined BAs'], [(-44, 44, 34), 'Outside defined BAs']]
0.23530440149506687;[10, 26, -34];[18128, 20790, 23545, 23546, 23547, 23548, 23549, 23571, 23572, 23573, 23574, 23575, 23589, 23590, 23591, 23592, 23593, 26495, 26496, 26497, 26511, 26512, 26513, 26529, 26530, 26531];[(49, 79, 19), (49, 79, 20), (48, 74, 21), (49, 74, 21), (50, 74, 21), (51, 74, 21), (52, 74, 21), (48, 75, 21), (49, 75, 21), (50, 75, 21), (51, 75, 21), (52, 75, 21), (48, 76, 21), (49, 76, 21), (50, 76, 21), (51, 76, 21), (52, 76, 21), (49, 75, 22), (50, 75, 22), (51, 75, 22), (49, 76, 22), (50, 76, 22), (51, 76, 22), (49, 77, 22), (50, 77, 22), (51, 77, 22)];[[(8, 32, -34), 'Outside defined BAs'], [(8, 32, -32), 'Outside defined BAs'], [(6, 22, -30), 'Outside defined BAs'], [(8, 22, -30), 'Outside defined BAs'], [(10, 22, -30), 'Outside defined BAs'], [(12, 22, -30), 'Outside defined BAs'], [(14, 22, -30), 'Outside defined BAs'], [(6, 24, -30), 'Outside defined BAs'], [(8, 24, -30), 'Outside defined BAs'], [(10, 24, -30), 'Outside defined BAs'], [(12, 24, -30), 'Outside defined BAs'], [(14, 24, -30), 'Outside defined BAs'], [(6, 26, -30), 'Outside defined BAs'], [(8, 26, -30), 'Outside defined BAs'], [(10, 26, -30), 'Outside defined BAs'], [(12, 26, -30), 'Outside defined BAs'], [(14, 26, -30), 'Outside defined BAs'], [(8, 24, -28), 'Outside defined BAs'], [(10, 24, -28), 'Outside defined BAs'], [(12, 24, -28), 'Outside defined BAs'], [(8, 26, -28), 'Outside defined BAs'], [(10, 26, -28), 'Outside defined BAs'], [(12, 26, -28), 'Outside defined BAs'], [(8, 28, -28), 'Outside defined BAs'], [(10, 28, -28), 'Outside defined BAs'], [(12, 28, -28), 'Outside defined BAs']]
0.22432229551183808;[-20, 36, 66];[215813, 215814];[(35, 78, 68), (36, 78, 68)];[[(-20, 30, 64), 'Outside defined BAs'], [(-18, 30, 64), 'Outside defined BAs']]
0.2085023640321922;[40, -84, 46];[182763, 182764];[(63, 23, 57), (64, 23, 57)];[[(36, -80, 42), 'Outside defined BAs'], [(38, -80, 42), 'Outside defined BAs']]
0.19729113101104181;[-10, -84, 56];[199568, 199569];[(41, 23, 62), (42, 23, 62)];[[(-8, -80, 52), 'Outside defined BAs'], [(-6, -80, 52), 'Outside defined BAs']]
0.18950958425121994;[50, -34, -34];[19838, 19839, 25149, 25150, 25151, 25207, 25208, 25209, 25266, 25267, 25268];[(69, 49, 20), (70, 49, 20), (69, 45, 22), (70, 45, 22), (71, 45, 22), (69, 46, 22), (70, 46, 22), (71, 46, 22), (69, 47, 22), (70, 47, 22), (71, 47, 22)];[[(48, -28, -32), 'Outside defined BAs'], [(50, -28, -32), 'Outside defined BAs'], [(48, -36, -28), 'Outside defined BAs'], [(50, -36, -28), 'Outside defined BAs'], [(52, -36, -28), 'Outside defined BAs'], [(48, -34, -28), 'Outside defined BAs'], [(50, -34, -28), 'Outside defined BAs'], [(52, -34, -28), 'Outside defined BAs'], [(48, -32, -28), 'Outside defined BAs'], [(50, -32, -28), 'Outside defined BAs'], [(52, -32, -28), 'Outside defined BAs']]
