Spermanr;Sphere_Centres;Voxel_Indicies;AAL_Coordinates;Talairach_Coordinates
0.547380317253392;[40, -84, -54];[5, 6, 7, 8, 23, 24, 25, 26, 27, 52, 53, 54, 556, 557, 558, 559, 574, 575, 576, 577, 578, 603, 604, 605, 1637, 1638, 1639, 1640, 1641, 1666, 1667, 1668, 1669, 1670, 1699, 1700, 1701, 1702, 1703, 1735, 1736, 1737, 1738, 1739, 2908, 2909, 2910, 2937, 2938, 2939, 2972, 2973, 2974];[(63, 22, 9), (64, 22, 9), (65, 22, 9), (66, 22, 9), (63, 23, 9), (64, 23, 9), (65, 23, 9), (66, 23, 9), (67, 23, 9), (64, 24, 9), (65, 24, 9), (66, 24, 9), (63, 22, 10), (64, 22, 10), (65, 22, 10), (66, 22, 10), (63, 23, 10), (64, 23, 10), (65, 23, 10), (66, 23, 10), (67, 23, 10), (64, 24, 10), (65, 24, 10), (66, 24, 10), (63, 20, 11), (64, 20, 11), (65, 20, 11), (66, 20, 11), (67, 20, 11), (63, 21, 11), (64, 21, 11), (65, 21, 11), (66, 21, 11), (67, 21, 11), (63, 22, 11), (64, 22, 11), (65, 22, 11), (66, 22, 11), (67, 22, 11), (63, 23, 11), (64, 23, 11), (65, 23, 11), (66, 23, 11), (67, 23, 11), (64, 20, 12), (65, 20, 12), (66, 20, 12), (64, 21, 12), (65, 21, 12), (66, 21, 12), (64, 22, 12), (65, 22, 12), (66, 22, 12)];[[(36, -82, -54), 'Outside defined BAs'], [(38, -82, -54), 'Outside defined BAs'], [(40, -82, -54), 'Outside defined BAs'], [(42, -82, -54), 'Outside defined BAs'], [(36, -80, -54), 'Outside defined BAs'], [(38, -80, -54), 'Outside defined BAs'], [(40, -80, -54), 'Outside defined BAs'], [(42, -80, -54), 'Outside defined BAs'], [(44, -80, -54), 'Outside defined BAs'], [(38, -78, -54), 'Outside defined BAs'], [(40, -78, -54), 'Outside defined BAs'], [(42, -78, -54), 'Outside defined BAs'], [(36, -82, -52), 'Outside defined BAs'], [(38, -82, -52), 'Outside defined BAs'], [(40, -82, -52), 'Outside defined BAs'], [(42, -82, -52), 'Outside defined BAs'], [(36, -80, -52), 'Outside defined BAs'], [(38, -80, -52), 'Outside defined BAs'], [(40, -80, -52), 'Outside defined BAs'], [(42, -80, -52), 'Outside defined BAs'], [(44, -80, -52), 'Outside defined BAs'], [(38, -78, -52), 'Outside defined BAs'], [(40, -78, -52), 'Outside defined BAs'], [(42, -78, -52), 'Outside defined BAs'], [(36, -86, -50), 'Outside defined BAs'], [(38, -86, -50), 'Outside defined BAs'], [(40, -86, -50), 'Outside defined BAs'], [(42, -86, -50), 'Outside defined BAs'], [(44, -86, -50), 'Outside defined BAs'], [(36, -84, -50), 'Outside defined BAs'], [(38, -84, -50), 'Outside defined BAs'], [(40, -84, -50), 'Outside defined BAs'], [(42, -84, -50), 'Outside defined BAs'], [(44, -84, -50), 'Outside defined BAs'], [(36, -82, -50), 'Outside defined BAs'], [(38, -82, -50), 'Outside defined BAs'], [(40, -82, -50), 'Outside defined BAs'], [(42, -82, -50), 'Outside defined BAs'], [(44, -82, -50), 'Outside defined BAs'], [(36, -80, -50), 'Outside defined BAs'], [(38, -80, -50), 'Outside defined BAs'], [(40, -80, -50), 'Outside defined BAs'], [(42, -80, -50), 'Outside defined BAs'], [(44, -80, -50), 'Outside defined BAs'], [(38, -86, -48), 'Outside defined BAs'], [(40, -86, -48), 'Outside defined BAs'], [(42, -86, -48), 'Outside defined BAs'], [(38, -84, -48), 'Outside defined BAs'], [(40, -84, -48), 'Outside defined BAs'], [(42, -84, -48), 'Outside defined BAs'], [(38, -82, -48), 'Outside defined BAs'], [(40, -82, -48), 'Outside defined BAs'], [(42, -82, -48), 'Outside defined BAs']]
0.5007829142143994;[50, -74, -54];[56, 57, 58, 93, 94, 95, 96, 97, 135, 136, 137, 138, 139, 179, 180, 181, 182, 183, 184, 228, 229, 230, 231, 232, 278, 279, 280, 607, 608, 609, 644, 645, 646, 647, 648, 686, 687, 688, 689, 690, 730, 731, 732, 733, 734, 735, 779, 780, 781, 782, 783, 829, 830, 831, 1781, 1782, 1783, 1784, 1827, 1828, 1829, 1830, 1873, 1874, 1875, 1876, 1877, 1924, 1925, 1926, 1927, 1928, 1972, 1973, 1974, 1975, 1976, 3101, 3102, 3103, 3147, 3148, 3149, 3198, 3199, 3200];[(68, 24, 9), (69, 24, 9), (70, 24, 9), (67, 25, 9), (68, 25, 9), (69, 25, 9), (70, 25, 9), (71, 25, 9), (67, 26, 9), (68, 26, 9), (69, 26, 9), (70, 26, 9), (71, 26, 9), (67, 27, 9), (68, 27, 9), (69, 27, 9), (70, 27, 9), (71, 27, 9), (72, 27, 9), (68, 28, 9), (69, 28, 9), (70, 28, 9), (71, 28, 9), (72, 28, 9), (69, 29, 9), (70, 29, 9), (71, 29, 9), (68, 24, 10), (69, 24, 10), (70, 24, 10), (67, 25, 10), (68, 25, 10), (69, 25, 10), (70, 25, 10), (71, 25, 10), (67, 26, 10), (68, 26, 10), (69, 26, 10), (70, 26, 10), (71, 26, 10), (67, 27, 10), (68, 27, 10), (69, 27, 10), (70, 27, 10), (71, 27, 10), (72, 27, 10), (68, 28, 10), (69, 28, 10), (70, 28, 10), (71, 28, 10), (72, 28, 10), (69, 29, 10), (70, 29, 10), (71, 29, 10), (68, 24, 11), (69, 24, 11), (70, 24, 11), (71, 24, 11), (68, 25, 11), (69, 25, 11), (70, 25, 11), (71, 25, 11), (68, 26, 11), (69, 26, 11), (70, 26, 11), (71, 26, 11), (72, 26, 11), (68, 27, 11), (69, 27, 11), (70, 27, 11), (71, 27, 11), (72, 27, 11), (68, 28, 11), (69, 28, 11), (70, 28, 11), (71, 28, 11), (72, 28, 11), (69, 25, 12), (70, 25, 12), (71, 25, 12), (69, 26, 12), (70, 26, 12), (71, 26, 12), (69, 27, 12), (70, 27, 12), (71, 27, 12)];[[(46, -78, -54), 'Outside defined BAs'], [(48, -78, -54), 'Outside defined BAs'], [(50, -78, -54), 'Outside defined BAs'], [(44, -76, -54), 'Outside defined BAs'], [(46, -76, -54), 'Outside defined BAs'], [(48, -76, -54), 'Outside defined BAs'], [(50, -76, -54), 'Outside defined BAs'], [(52, -76, -54), 'Outside defined BAs'], [(44, -74, -54), 'Outside defined BAs'], [(46, -74, -54), 'Outside defined BAs'], [(48, -74, -54), 'Outside defined BAs'], [(50, -74, -54), 'Outside defined BAs'], [(52, -74, -54), 'Outside defined BAs'], [(44, -72, -54), 'Outside defined BAs'], [(46, -72, -54), 'Outside defined BAs'], [(48, -72, -54), 'Outside defined BAs'], [(50, -72, -54), 'Outside defined BAs'], [(52, -72, -54), 'Outside defined BAs'], [(54, -72, -54), 'Outside defined BAs'], [(46, -70, -54), 'Outside defined BAs'], [(48, -70, -54), 'Outside defined BAs'], [(50, -70, -54), 'Outside defined BAs'], [(52, -70, -54), 'Outside defined BAs'], [(54, -70, -54), 'Outside defined BAs'], [(48, -68, -54), 'Outside defined BAs'], [(50, -68, -54), 'Outside defined BAs'], [(52, -68, -54), 'Outside defined BAs'], [(46, -78, -52), 'Outside defined BAs'], [(48, -78, -52), 'Outside defined BAs'], [(50, -78, -52), 'Outside defined BAs'], [(44, -76, -52), 'Outside defined BAs'], [(46, -76, -52), 'Outside defined BAs'], [(48, -76, -52), 'Outside defined BAs'], [(50, -76, -52), 'Outside defined BAs'], [(52, -76, -52), 'Outside defined BAs'], [(44, -74, -52), 'Outside defined BAs'], [(46, -74, -52), 'Outside defined BAs'], [(48, -74, -52), 'Outside defined BAs'], [(50, -74, -52), 'Outside defined BAs'], [(52, -74, -52), 'Outside defined BAs'], [(44, -72, -52), 'Outside defined BAs'], [(46, -72, -52), 'Outside defined BAs'], [(48, -72, -52), 'Outside defined BAs'], [(50, -72, -52), 'Outside defined BAs'], [(52, -72, -52), 'Outside defined BAs'], [(54, -72, -52), 'Outside defined BAs'], [(46, -70, -52), 'Outside defined BAs'], [(48, -70, -52), 'Outside defined BAs'], [(50, -70, -52), 'Outside defined BAs'], [(52, -70, -52), 'Outside defined BAs'], [(54, -70, -52), 'Outside defined BAs'], [(48, -68, -52), 'Outside defined BAs'], [(50, -68, -52), 'Outside defined BAs'], [(52, -68, -52), 'Outside defined BAs'], [(46, -78, -50), 'Outside defined BAs'], [(48, -78, -50), 'Outside defined BAs'], [(50, -78, -50), 'Outside defined BAs'], [(52, -78, -50), 'Outside defined BAs'], [(46, -76, -50), 'Outside defined BAs'], [(48, -76, -50), 'Outside defined BAs'], [(50, -76, -50), 'Outside defined BAs'], [(52, -76, -50), 'Outside defined BAs'], [(46, -74, -50), 'Outside defined BAs'], [(48, -74, -50), 'Outside defined BAs'], [(50, -74, -50), 'Outside defined BAs'], [(52, -74, -50), 'Outside defined BAs'], [(54, -74, -50), 'Outside defined BAs'], [(46, -72, -50), 'Outside defined BAs'], [(48, -72, -50), 'Outside defined BAs'], [(50, -72, -50), 'Outside defined BAs'], [(52, -72, -50), 'Outside defined BAs'], [(54, -72, -50), 'Outside defined BAs'], [(46, -70, -50), 'Outside defined BAs'], [(48, -70, -50), 'Outside defined BAs'], [(50, -70, -50), 'Outside defined BAs'], [(52, -70, -50), 'Outside defined BAs'], [(54, -70, -50), 'Outside defined BAs'], [(48, -76, -48), 'Outside defined BAs'], [(50, -76, -48), 'Outside defined BAs'], [(52, -76, -48), 'Outside defined BAs'], [(48, -74, -48), 'Outside defined BAs'], [(50, -74, -48), 'Outside defined BAs'], [(52, -74, -48), 'Outside defined BAs'], [(48, -72, -48), 'Outside defined BAs'], [(50, -72, -48), 'Outside defined BAs'], [(52, -72, -48), 'Outside defined BAs']]
0.45947968089986163;[-50, -84, -24];[21000, 21044, 21045, 21046, 23770, 23812, 23813, 23856, 23857, 23858, 23859, 23906, 23907, 23908, 23909, 23910, 26891, 26892, 26933, 26934, 26935, 26936, 26979, 26980, 26981, 26982, 26983, 27027, 27028, 27029, 27030, 27031, 27076, 27077, 27078, 33488, 33526, 33564];[(21, 21, 21), (19, 22, 21), (20, 22, 21), (21, 22, 21), (22, 20, 22), (21, 21, 22), (22, 21, 22), (19, 22, 22), (20, 22, 22), (21, 22, 22), (22, 22, 22), (18, 23, 22), (19, 23, 22), (20, 23, 22), (21, 23, 22), (22, 23, 22), (22, 20, 23), (23, 20, 23), (20, 21, 23), (21, 21, 23), (22, 21, 23), (23, 21, 23), (19, 22, 23), (20, 22, 23), (21, 22, 23), (22, 22, 23), (23, 22, 23), (18, 23, 23), (19, 23, 23), (20, 23, 23), (21, 23, 23), (22, 23, 23), (19, 24, 23), (20, 24, 23), (21, 24, 23), (23, 20, 25), (23, 21, 25), (23, 22, 25)];[[(-48, -84, -30), 'Outside defined BAs'], [(-52, -82, -30), 'Outside defined BAs'], [(-50, -82, -30), 'Outside defined BAs'], [(-48, -82, -30), 'Outside defined BAs'], [(-46, -86, -28), 'Outside defined BAs'], [(-48, -84, -28), 'Outside defined BAs'], [(-46, -84, -28), 'Outside defined BAs'], [(-52, -82, -28), 'Outside defined BAs'], [(-50, -82, -28), 'Outside defined BAs'], [(-48, -82, -28), 'Outside defined BAs'], [(-46, -82, -28), 'Outside defined BAs'], [(-54, -80, -28), 'Outside defined BAs'], [(-52, -80, -28), 'Outside defined BAs'], [(-50, -80, -28), 'Outside defined BAs'], [(-48, -80, -28), 'Outside defined BAs'], [(-46, -80, -28), 'Outside defined BAs'], [(-46, -86, -26), 'Outside defined BAs'], [(-44, -86, -26), 'Outside defined BAs'], [(-50, -84, -26), 'Outside defined BAs'], [(-48, -84, -26), 'Outside defined BAs'], [(-46, -84, -26), 'Outside defined BAs'], [(-44, -84, -26), 'Outside defined BAs'], [(-52, -82, -26), 'Outside defined BAs'], [(-50, -82, -26), 'Outside defined BAs'], [(-48, -82, -26), 'Outside defined BAs'], [(-46, -82, -26), 'Outside defined BAs'], [(-44, -82, -26), 'Outside defined BAs'], [(-54, -80, -26), 'Outside defined BAs'], [(-52, -80, -26), 'Outside defined BAs'], [(-50, -80, -26), 'Outside defined BAs'], [(-48, -80, -26), 'Outside defined BAs'], [(-46, -80, -26), 'Outside defined BAs'], [(-52, -78, -26), 'Outside defined BAs'], [(-50, -78, -26), 'Outside defined BAs'], [(-48, -78, -26), 'Outside defined BAs'], [(-44, -86, -22), 'Outside defined BAs'], [(-44, -84, -22), 'Outside defined BAs'], [(-44, -82, -22), 'Outside defined BAs']]
0.38117211292682684;[-70, -64, 6];[94737, 99835, 104952];[(13, 32, 38), (13, 32, 39), (13, 32, 40)];[[(-64, -62, 4), 'Outside defined BAs'], [(-64, -62, 6), 'Outside defined BAs'], [(-64, -62, 8), 'Outside defined BAs']]
0.3755721648256832;[-50, -74, -54];[29, 30, 59, 60, 61, 62, 63, 98, 99, 100, 101, 102, 140, 141, 142, 143, 144, 185, 186, 187, 188, 189, 234, 235, 236, 580, 581, 610, 611, 612, 613, 614, 649, 650, 651, 652, 653, 691, 692, 693, 694, 695, 736, 737, 738, 739, 740, 785, 786, 787, 1743, 1744, 1745, 1785, 1786, 1787, 1788, 1831, 1832, 1833, 1834, 1878, 1879, 1880, 1881, 1882, 1929, 1930, 1931, 1932, 1933, 3058, 3059, 3060, 3104, 3105, 3106, 3152, 3153, 3154];[(21, 24, 9), (22, 24, 9), (19, 25, 9), (20, 25, 9), (21, 25, 9), (22, 25, 9), (23, 25, 9), (19, 26, 9), (20, 26, 9), (21, 26, 9), (22, 26, 9), (23, 26, 9), (19, 27, 9), (20, 27, 9), (21, 27, 9), (22, 27, 9), (23, 27, 9), (18, 28, 9), (19, 28, 9), (20, 28, 9), (21, 28, 9), (22, 28, 9), (19, 29, 9), (20, 29, 9), (21, 29, 9), (21, 24, 10), (22, 24, 10), (19, 25, 10), (20, 25, 10), (21, 25, 10), (22, 25, 10), (23, 25, 10), (19, 26, 10), (20, 26, 10), (21, 26, 10), (22, 26, 10), (23, 26, 10), (19, 27, 10), (20, 27, 10), (21, 27, 10), (22, 27, 10), (23, 27, 10), (18, 28, 10), (19, 28, 10), (20, 28, 10), (21, 28, 10), (22, 28, 10), (19, 29, 10), (20, 29, 10), (21, 29, 10), (20, 24, 11), (21, 24, 11), (22, 24, 11), (19, 25, 11), (20, 25, 11), (21, 25, 11), (22, 25, 11), (19, 26, 11), (20, 26, 11), (21, 26, 11), (22, 26, 11), (18, 27, 11), (19, 27, 11), (20, 27, 11), (21, 27, 11), (22, 27, 11), (18, 28, 11), (19, 28, 11), (20, 28, 11), (21, 28, 11), (22, 28, 11), (19, 25, 12), (20, 25, 12), (21, 25, 12), (19, 26, 12), (20, 26, 12), (21, 26, 12), (19, 27, 12), (20, 27, 12), (21, 27, 12)];[[(-48, -78, -54), 'Outside defined BAs'], [(-46, -78, -54), 'Outside defined BAs'], [(-52, -76, -54), 'Outside defined BAs'], [(-50, -76, -54), 'Outside defined BAs'], [(-48, -76, -54), 'Outside defined BAs'], [(-46, -76, -54), 'Outside defined BAs'], [(-44, -76, -54), 'Outside defined BAs'], [(-52, -74, -54), 'Outside defined BAs'], [(-50, -74, -54), 'Outside defined BAs'], [(-48, -74, -54), 'Outside defined BAs'], [(-46, -74, -54), 'Outside defined BAs'], [(-44, -74, -54), 'Outside defined BAs'], [(-52, -72, -54), 'Outside defined BAs'], [(-50, -72, -54), 'Outside defined BAs'], [(-48, -72, -54), 'Outside defined BAs'], [(-46, -72, -54), 'Outside defined BAs'], [(-44, -72, -54), 'Outside defined BAs'], [(-54, -70, -54), 'Outside defined BAs'], [(-52, -70, -54), 'Outside defined BAs'], [(-50, -70, -54), 'Outside defined BAs'], [(-48, -70, -54), 'Outside defined BAs'], [(-46, -70, -54), 'Outside defined BAs'], [(-52, -68, -54), 'Outside defined BAs'], [(-50, -68, -54), 'Outside defined BAs'], [(-48, -68, -54), 'Outside defined BAs'], [(-48, -78, -52), 'Outside defined BAs'], [(-46, -78, -52), 'Outside defined BAs'], [(-52, -76, -52), 'Outside defined BAs'], [(-50, -76, -52), 'Outside defined BAs'], [(-48, -76, -52), 'Outside defined BAs'], [(-46, -76, -52), 'Outside defined BAs'], [(-44, -76, -52), 'Outside defined BAs'], [(-52, -74, -52), 'Outside defined BAs'], [(-50, -74, -52), 'Outside defined BAs'], [(-48, -74, -52), 'Outside defined BAs'], [(-46, -74, -52), 'Outside defined BAs'], [(-44, -74, -52), 'Outside defined BAs'], [(-52, -72, -52), 'Outside defined BAs'], [(-50, -72, -52), 'Outside defined BAs'], [(-48, -72, -52), 'Outside defined BAs'], [(-46, -72, -52), 'Outside defined BAs'], [(-44, -72, -52), 'Outside defined BAs'], [(-54, -70, -52), 'Outside defined BAs'], [(-52, -70, -52), 'Outside defined BAs'], [(-50, -70, -52), 'Outside defined BAs'], [(-48, -70, -52), 'Outside defined BAs'], [(-46, -70, -52), 'Outside defined BAs'], [(-52, -68, -52), 'Outside defined BAs'], [(-50, -68, -52), 'Outside defined BAs'], [(-48, -68, -52), 'Outside defined BAs'], [(-50, -78, -50), 'Outside defined BAs'], [(-48, -78, -50), 'Outside defined BAs'], [(-46, -78, -50), 'Outside defined BAs'], [(-52, -76, -50), 'Outside defined BAs'], [(-50, -76, -50), 'Outside defined BAs'], [(-48, -76, -50), 'Outside defined BAs'], [(-46, -76, -50), 'Outside defined BAs'], [(-52, -74, -50), 'Outside defined BAs'], [(-50, -74, -50), 'Outside defined BAs'], [(-48, -74, -50), 'Outside defined BAs'], [(-46, -74, -50), 'Outside defined BAs'], [(-54, -72, -50), 'Outside defined BAs'], [(-52, -72, -50), 'Outside defined BAs'], [(-50, -72, -50), 'Outside defined BAs'], [(-48, -72, -50), 'Outside defined BAs'], [(-46, -72, -50), 'Outside defined BAs'], [(-54, -70, -50), 'Outside defined BAs'], [(-52, -70, -50), 'Outside defined BAs'], [(-50, -70, -50), 'Outside defined BAs'], [(-48, -70, -50), 'Outside defined BAs'], [(-46, -70, -50), 'Outside defined BAs'], [(-52, -76, -48), 'Outside defined BAs'], [(-50, -76, -48), 'Outside defined BAs'], [(-48, -76, -48), 'Outside defined BAs'], [(-52, -74, -48), 'Outside defined BAs'], [(-50, -74, -48), 'Outside defined BAs'], [(-48, -74, -48), 'Outside defined BAs'], [(-52, -72, -48), 'Outside defined BAs'], [(-50, -72, -48), 'Outside defined BAs'], [(-48, -72, -48), 'Outside defined BAs']]
0.3702528216150327;[-50, 36, 46];[185936, 185937, 185984];[(21, 79, 57), (22, 79, 57), (22, 80, 57)];[[(-48, 32, 42), 'Outside defined BAs'], [(-46, 32, 42), 'Outside defined BAs'], [(-46, 34, 42), 'Outside defined BAs']]
0.34322773491549424;[60, -34, -34];[25212, 25271];[(74, 46, 22), (74, 47, 22)];[[(58, -34, -28), 'Outside defined BAs'], [(58, -32, -28), 'Outside defined BAs']]
0.3095664068155014;[0, 6, -24];[39816, 39817, 39875, 39876, 39877];[(43, 67, 26), (47, 67, 26), (43, 68, 26), (44, 68, 26), (47, 68, 26)];[[(-4, 8, -20), 'Outside defined BAs'], [(4, 8, -20), 'Outside defined BAs'], [(-4, 10, -20), 'Outside defined BAs'], [(-2, 10, -20), 'Outside defined BAs'], [(4, 10, -20), 'Outside defined BAs']]
0.29993552677375224;[-10, -84, 56];[199568, 199569];[(41, 23, 62), (42, 23, 62)];[[(-8, -80, 52), 'Outside defined BAs'], [(-6, -80, 52), 'Outside defined BAs']]
0.26914521272577524;[-30, -14, -44];[10658, 10659];[(28, 58, 16), (29, 58, 16)];[[(-34, -10, -40), 'Outside defined BAs'], [(-32, -10, -40), 'Outside defined BAs']]
