Spermanr;Sphere_Centres;Voxel_Indicies;AAL_Coordinates;Talairach_Coordinates
0.9304364075411734;[-30, 56, 46];[182623, 186325];[(31, 90, 56), (32, 89, 57)];[[(-28, 54, 40), 'Outside defined BAs'], [(-26, 52, 42), 'Outside defined BAs']]
0.38067041710823246;[-40, -94, -34];[11086, 13236, 13237, 13238, 13239, 13240, 13275, 13276, 13277, 15671, 15672, 15673, 15674, 15675, 15706, 15707, 15708, 18179, 18180, 18181, 18182, 18183, 18214, 18215, 18216, 20905];[(25, 18, 17), (23, 18, 18), (24, 18, 18), (25, 18, 18), (26, 18, 18), (27, 18, 18), (24, 19, 18), (25, 19, 18), (26, 19, 18), (23, 18, 19), (24, 18, 19), (25, 18, 19), (26, 18, 19), (27, 18, 19), (24, 19, 19), (25, 19, 19), (26, 19, 19), (23, 18, 20), (24, 18, 20), (25, 18, 20), (26, 18, 20), (27, 18, 20), (24, 19, 20), (25, 19, 20), (26, 19, 20), (27, 18, 21)];[[(-40, -90, -38), 'Outside defined BAs'], [(-44, -90, -36), 'Outside defined BAs'], [(-42, -90, -36), 'Outside defined BAs'], [(-40, -90, -36), 'Outside defined BAs'], [(-38, -90, -36), 'Outside defined BAs'], [(-36, -90, -36), 'Outside defined BAs'], [(-42, -88, -36), 'Outside defined BAs'], [(-40, -88, -36), 'Outside defined BAs'], [(-38, -88, -36), 'Outside defined BAs'], [(-44, -90, -34), 'Outside defined BAs'], [(-42, -90, -34), 'Outside defined BAs'], [(-40, -90, -34), 'Outside defined BAs'], [(-38, -90, -34), 'Outside defined BAs'], [(-36, -90, -34), 'Outside defined BAs'], [(-42, -88, -34), 'Outside defined BAs'], [(-40, -88, -34), 'Outside defined BAs'], [(-38, -88, -34), 'Outside defined BAs'], [(-44, -90, -32), 'Outside defined BAs'], [(-42, -90, -32), 'Outside defined BAs'], [(-40, -90, -32), 'Outside defined BAs'], [(-38, -90, -32), 'Outside defined BAs'], [(-36, -90, -32), 'Outside defined BAs'], [(-42, -88, -32), 'Outside defined BAs'], [(-40, -88, -32), 'Outside defined BAs'], [(-38, -88, -32), 'Outside defined BAs'], [(-36, -90, -30), 'Outside defined BAs']]
0.30569950751472963;[60, 46, 16];[113597, 118621, 118622, 118678, 118679, 118735, 118790, 123595, 123650, 123704, 123757, 128515, 128570, 128624, 128677, 133351, 133405, 133458, 133459, 133511, 133563, 138190, 138244];[(74, 85, 41), (73, 84, 42), (74, 84, 42), (73, 85, 42), (74, 85, 42), (73, 86, 42), (73, 87, 42), (74, 83, 43), (73, 84, 43), (72, 85, 43), (72, 86, 43), (74, 83, 44), (73, 84, 44), (72, 85, 44), (72, 86, 44), (74, 83, 45), (73, 84, 45), (72, 85, 45), (73, 85, 45), (72, 86, 45), (72, 87, 45), (73, 84, 46), (73, 85, 46)];[[(58, 44, 10), 'Outside defined BAs'], [(56, 42, 12), 'Outside defined BAs'], [(58, 42, 12), 'Outside defined BAs'], [(56, 44, 12), 'Outside defined BAs'], [(58, 44, 12), 'Outside defined BAs'], [(56, 46, 12), 'Outside defined BAs'], [(56, 48, 12), 'Outside defined BAs'], [(58, 40, 14), 'Outside defined BAs'], [(56, 42, 14), 'Outside defined BAs'], [(54, 44, 14), 'Outside defined BAs'], [(54, 46, 14), 'Outside defined BAs'], [(58, 40, 16), 'Outside defined BAs'], [(56, 42, 16), 'Outside defined BAs'], [(54, 44, 16), 'Outside defined BAs'], [(54, 46, 16), 'Outside defined BAs'], [(58, 40, 18), 'Outside defined BAs'], [(56, 42, 18), 'Outside defined BAs'], [(54, 44, 18), 'Outside defined BAs'], [(56, 44, 18), 'Outside defined BAs'], [(54, 46, 18), 'Outside defined BAs'], [(54, 48, 18), 'Outside defined BAs'], [(56, 42, 20), 'Outside defined BAs'], [(56, 44, 20), 'Outside defined BAs']]
0.2688361208029705;[0, 6, -24];[39816, 39817, 39875, 39876, 39877];[(43, 67, 26), (47, 67, 26), (43, 68, 26), (44, 68, 26), (47, 68, 26)];[[(-4, 8, -20), 'Outside defined BAs'], [(4, 8, -20), 'Outside defined BAs'], [(-4, 10, -20), 'Outside defined BAs'], [(-2, 10, -20), 'Outside defined BAs'], [(4, 10, -20), 'Outside defined BAs']]
0.26518695075792975;[-70, -64, 6];[94737, 99835, 104952];[(13, 32, 38), (13, 32, 39), (13, 32, 40)];[[(-64, -62, 4), 'Outside defined BAs'], [(-64, -62, 6), 'Outside defined BAs'], [(-64, -62, 8), 'Outside defined BAs']]
0.24753288244174781;[-10, -84, -54];[1688, 1722, 1723];[(38, 22, 11), (38, 23, 11), (39, 23, 11)];[[(-14, -82, -50), 'Outside defined BAs'], [(-14, -80, -50), 'Outside defined BAs'], [(-12, -80, -50), 'Outside defined BAs']]
0.2260736761985822;[40, -84, 46];[182763, 182764];[(63, 23, 57), (64, 23, 57)];[[(36, -80, 42), 'Outside defined BAs'], [(38, -80, 42), 'Outside defined BAs']]
0.21236295511712197;[10, -104, 26];[138694, 138695];[(51, 13, 47), (52, 13, 47)];[[(12, -100, 22), 'Outside defined BAs'], [(14, -100, 22), 'Outside defined BAs']]
0.20340353145451695;[-70, -54, -14];[50664, 55290, 60178];[(13, 37, 29), (13, 37, 30), (12, 38, 31)];[[(-64, -52, -14), 'Outside defined BAs'], [(-64, -52, -12), 'Left-Fusiform (37)'], [(-66, -50, -10), 'Outside defined BAs']]
0.20261994296273192;[60, -34, -34];[25212, 25271];[(74, 46, 22), (74, 47, 22)];[[(58, -34, -28), 'Outside defined BAs'], [(58, -32, -28), 'Outside defined BAs']]
