TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
-56,24,2,Outside defined BAs,-58,27,-1
-58,26,2,Outside defined BAs,-60,29,0
-56,26,2,Outside defined BAs,-58,29,-1
-54,26,2,Outside defined BAs,-56,29,-1
-52,26,2,Left-Broca-Triang (45),-54,29,-1
-50,26,2,Left-Broca-Triang (45),-52,29,-1
-48,26,2,Left-Broca-Triang (45),-50,29,-1
-58,28,2,Outside defined BAs,-60,31,0
-58,30,2,Outside defined BAs,-59,33,0
-58,32,2,Outside defined BAs,-59,35,0
-58,34,2,Outside defined BAs,-59,37,0
-58,36,2,Outside defined BAs,-59,39,0
-56,36,2,Outside defined BAs,-57,39,0
-54,36,2,Left-ParsOrbitalis (47),-55,39,0
-52,36,2,Left-Broca-Triang (45),-53,39,0
-50,36,2,Left-Broca-Triang (45),-51,39,0
-56,38,2,Outside defined BAs,-57,41,0
-54,38,2,Left-ParsOrbitalis (47),-55,41,-1
-54,16,4,Left-Broca-Triang (45),-56,19,1
-58,18,4,Outside defined BAs,-60,21,2
-56,18,4,Left-Broca-Triang (45),-58,21,1
-54,18,4,Left-Broca-Triang (45),-56,21,1
-52,18,4,Left-Broca-Triang (45),-54,21,1
-50,18,4,Left-Broca-Triang (45),-52,21,1
-48,18,4,Left-Broca-Triang (45),-50,21,1
-46,18,4,Left-Broca-Triang (45),-48,21,1
-44,18,4,Left-Broca-Triang (45),-46,21,1
-42,18,4,Left-Broca-Triang (45),-44,21,1
-60,20,4,Outside defined BAs,-62,23,2
-58,20,4,Outside defined BAs,-60,23,2
-48,20,4,Left-Broca-Triang (45),-50,23,1
-44,20,4,Left-Broca-Triang (45),-46,23,1
-42,20,4,Left-Broca-Triang (45),-44,23,1
-40,20,4,Left-Broca-Triang (45),-42,23,2
-60,22,4,Outside defined BAs,-62,25,2
-58,22,4,Outside defined BAs,-60,25,2
-40,22,4,Left-Broca-Triang (45),-41,25,2
-38,22,4,Left-ParsOrbitalis (47),-39,25,2
-60,24,4,Outside defined BAs,-62,27,2
-58,24,4,Outside defined BAs,-60,27,2
-38,24,4,Left-ParsOrbitalis (47),-39,27,2
-36,24,4,Left-ParsOrbitalis (47),-37,27,2
-58,26,4,Outside defined BAs,-60,29,2
-56,26,4,Outside defined BAs,-58,29,2
-54,26,4,Left-Broca-Triang (45),-56,29,2
-52,26,4,Left-Broca-Triang (45),-54,29,2
-50,26,4,Left-Broca-Triang (45),-52,29,2
-48,26,4,Left-Broca-Triang (45),-50,29,2
-58,28,4,Outside defined BAs,-60,31,2
-58,30,4,Outside defined BAs,-59,33,2
-58,32,4,Outside defined BAs,-59,35,1
-60,34,4,Outside defined BAs,-61,37,2
-58,34,4,Outside defined BAs,-59,37,2
-58,36,4,Outside defined BAs,-59,39,2
-56,36,4,Outside defined BAs,-57,39,2
-54,36,4,Left-Broca-Triang (45),-55,39,2
-52,36,4,Left-Broca-Triang (45),-53,39,2
-50,36,4,Left-Broca-Triang (45),-51,39,2
-56,38,4,Outside defined BAs,-57,41,2
-54,38,4,Outside defined BAs,-55,41,2
-48,0,6,Left-PreMot+SuppMot (6),-51,2,3
-46,0,6,Left-PreMot+SuppMot (6),-49,2,3
-54,16,6,Left-Broca-Triang (45),-56,19,4
-58,18,6,Left-Broca-Triang (45),-60,21,4
-56,18,6,Left-Broca-Triang (45),-58,21,4
-54,18,6,Left-Broca-Triang (45),-56,21,4
-52,18,6,Left-Broca-Triang (45),-54,21,4
-50,18,6,Left-Broca-Triang (45),-52,21,4
-48,18,6,Left-Broca-Triang (45),-50,21,4
-46,18,6,Left-Broca-Triang (45),-48,21,4
-44,18,6,Left-Broca-Triang (45),-46,21,4
-42,18,6,Left-Broca-Triang (45),-44,21,4
-60,20,6,Outside defined BAs,-62,23,4
-58,20,6,Outside defined BAs,-60,23,4
-48,20,6,Left-Broca-Triang (45),-50,23,4
-44,20,6,Left-Broca-Triang (45),-46,23,4
-42,20,6,Left-Broca-Triang (45),-44,23,4
-40,20,6,Left-Broca-Triang (45),-42,23,4
-60,22,6,Outside defined BAs,-62,25,4
-58,22,6,Outside defined BAs,-60,25,4
-40,22,6,Left-Broca-Triang (45),-42,25,4
-38,22,6,Left-Broca-Triang (45),-39,25,4
-60,24,6,Outside defined BAs,-62,27,3
-58,24,6,Outside defined BAs,-60,27,4
-38,24,6,Left-Broca-Triang (45),-39,27,3
-36,24,6,Left-Broca-Triang (45),-37,27,4
-34,24,6,Left-Broca-Triang (45),-35,27,3
-32,24,6,Left-Broca-Triang (45),-33,27,4
-30,24,6,Left-Insula (13),-31,27,4
-60,26,6,Outside defined BAs,-62,29,4
-58,26,6,Outside defined BAs,-60,29,4
-36,26,6,Left-Broca-Triang (45),-37,29,4
-34,26,6,Left-Broca-Triang (45),-35,29,4
-32,26,6,Left-Broca-Triang (45),-33,29,4
-60,28,6,Outside defined BAs,-62,31,4
-58,28,6,Outside defined BAs,-60,31,4
-58,30,6,Outside defined BAs,-59,33,4
-56,30,6,Left-Broca-Triang (45),-57,33,4
-54,30,6,Left-Broca-Triang (45),-55,33,4
-58,32,6,Outside defined BAs,-59,34,4
-56,32,6,Left-Broca-Triang (45),-57,34,4
-60,34,6,Outside defined BAs,-61,36,5
-58,34,6,Outside defined BAs,-59,36,4
-58,36,6,Outside defined BAs,-59,38,5
-58,38,6,Outside defined BAs,-59,40,5
-56,38,6,Outside defined BAs,-57,40,5
-54,38,6,Outside defined BAs,-55,40,5
-52,38,6,Left-dlPFC(lat) (46),-53,40,5
-50,38,6,Left-dlPFC(lat) (46),-51,40,5
-56,40,6,Outside defined BAs,-57,42,5
-54,40,6,Outside defined BAs,-55,42,5
-52,40,6,Left-dlPFC(lat) (46),-53,42,5
-48,0,8,Left-PreMot+SuppMot (6),-51,2,6
-46,0,8,Left-PreMot+SuppMot (6),-49,2,6
-44,2,8,Left-Broca-Operc (44),-46,5,6
-44,4,8,Left-Broca-Operc (44),-46,7,6
-62,6,8,Outside defined BAs,-65,9,6
-60,6,8,Left-Broca-Operc (44),-63,9,6
-42,6,8,Left-Broca-Operc (44),-44,9,6
-62,8,8,Outside defined BAs,-65,11,6
-60,8,8,Left-Broca-Operc (44),-63,11,6
-42,8,8,Left-Broca-Operc (44),-44,11,6
-40,8,8,Left-Broca-Operc (44),-42,11,6
-60,10,8,Outside defined BAs,-63,13,6
-58,10,8,Left-Broca-Operc (44),-61,13,6
-56,10,8,Left-Broca-Operc (44),-59,13,6
-54,10,8,Left-Broca-Operc (44),-57,13,6
-52,10,8,Left-Broca-Operc (44),-55,13,6
-50,10,8,Left-Broca-Operc (44),-52,13,6
-44,10,8,Left-Broca-Operc (44),-46,13,6
-42,10,8,Left-Broca-Operc (44),-44,13,6
-52,12,8,Left-Broca-Operc (44),-54,15,6
-50,12,8,Left-Broca-Operc (44),-52,15,6
-44,12,8,Left-Broca-Operc (44),-46,15,6
-58,14,8,Outside defined BAs,-60,17,5
-52,14,8,Left-Broca-Triang (45),-54,17,6
-50,14,8,Left-Broca-Triang (45),-52,17,6
-44,14,8,Left-Broca-Triang (45),-46,17,6
-42,14,8,Left-Broca-Triang (45),-44,17,6
-56,16,8,Left-Broca-Triang (45),-58,19,6
-52,16,8,Left-Broca-Triang (45),-54,19,6
-50,16,8,Left-Broca-Triang (45),-52,19,6
-44,16,8,Left-Broca-Triang (45),-46,19,6
-42,16,8,Left-Broca-Triang (45),-44,19,6
-58,18,8,Left-Broca-Triang (45),-60,21,5
-56,18,8,Left-Broca-Triang (45),-58,21,6
-52,18,8,Left-Broca-Triang (45),-54,21,6
-50,18,8,Left-Broca-Triang (45),-52,21,6
-48,18,8,Left-Broca-Triang (45),-50,21,6
-46,18,8,Left-Broca-Triang (45),-48,21,6
-44,18,8,Left-Broca-Triang (45),-46,21,6
-60,20,8,Outside defined BAs,-62,23,6
-58,20,8,Outside defined BAs,-60,23,6
-54,20,8,Left-Broca-Triang (45),-56,23,6
-52,20,8,Left-Broca-Triang (45),-54,23,6
-50,20,8,Left-Broca-Triang (45),-52,23,6
-48,20,8,Left-Broca-Triang (45),-50,23,6
-60,22,8,Outside defined BAs,-62,25,6
-52,22,8,Left-Broca-Triang (45),-54,25,5
-50,22,8,Left-Broca-Triang (45),-52,25,5
-46,22,8,Left-Broca-Triang (45),-48,25,5
-60,24,8,Outside defined BAs,-62,27,6
-54,24,8,Left-Broca-Triang (45),-56,27,6
-48,24,8,Left-Broca-Triang (45),-50,27,5
-60,26,8,Outside defined BAs,-62,28,6
-54,26,8,Left-Broca-Triang (45),-56,28,6
-52,26,8,Left-Broca-Triang (45),-54,28,6
-50,26,8,Left-Broca-Triang (45),-52,28,6
-60,28,8,Outside defined BAs,-62,30,7
-54,28,8,Left-Broca-Triang (45),-56,30,6
-52,28,8,Left-Broca-Triang (45),-54,30,6
-58,30,8,Outside defined BAs,-60,32,7
-56,40,8,Outside defined BAs,-57,42,7
-54,40,8,Outside defined BAs,-55,42,7
-52,40,8,Left-dlPFC(lat) (46),-53,42,7
-48,-2,10,Left-PreMot+SuppMot (6),-52,0,8
-46,-2,10,Left-PreMot+SuppMot (6),-49,0,8
-48,0,10,Left-PreMot+SuppMot (6),-52,2,8
-46,0,10,Left-PreMot+SuppMot (6),-49,2,8
-44,2,10,Left-Broca-Operc (44),-46,5,8
-44,4,10,Left-Broca-Operc (44),-46,7,8
-62,6,10,Outside defined BAs,-65,9,8
-60,6,10,Left-Broca-Operc (44),-63,9,8
-42,6,10,Left-Broca-Operc (44),-44,9,8
-62,8,10,Outside defined BAs,-65,11,8
-60,8,10,Left-Broca-Operc (44),-63,11,8
-42,8,10,Left-Broca-Operc (44),-44,11,8
-40,8,10,Left-Broca-Operc (44),-42,11,8
-60,10,10,Outside defined BAs,-63,13,8
-58,10,10,Left-Broca-Operc (44),-61,13,8
-56,10,10,Left-Broca-Operc (44),-59,13,8
-54,10,10,Left-Broca-Operc (44),-57,13,8
-52,10,10,Left-Broca-Operc (44),-55,13,7
-50,10,10,Left-Broca-Operc (44),-53,13,7
-44,10,10,Left-Broca-Operc (44),-46,13,8
-42,10,10,Left-Broca-Operc (44),-44,13,8
-52,12,10,Left-Broca-Operc (44),-55,15,8
-50,12,10,Left-Broca-Operc (44),-52,15,8
-44,12,10,Left-Broca-Operc (44),-46,15,8
-58,14,10,Left-Broca-Triang (45),-60,17,8
-52,14,10,Left-Broca-Operc (44),-54,17,8
-50,14,10,Left-Broca-Operc (44),-52,17,8
-44,14,10,Left-Broca-Operc (44),-46,17,8
-42,14,10,Left-Broca-Operc (44),-44,17,8
-56,16,10,Left-Broca-Triang (45),-58,19,8
-52,16,10,Left-Broca-Triang (45),-54,19,8
-50,16,10,Left-Broca-Triang (45),-52,19,8
-44,16,10,Left-Broca-Triang (45),-46,19,8
-42,16,10,Left-Broca-Triang (45),-44,19,8
-58,18,10,Left-Broca-Triang (45),-60,20,8
-56,18,10,Left-Broca-Triang (45),-58,20,8
-52,18,10,Left-Broca-Triang (45),-54,20,8
-50,18,10,Left-Broca-Triang (45),-52,20,8
-48,18,10,Left-Broca-Triang (45),-50,20,8
-46,18,10,Left-Broca-Triang (45),-48,21,8
-44,18,10,Left-Broca-Triang (45),-46,21,8
-60,20,10,Outside defined BAs,-62,22,9
-58,20,10,Left-Broca-Triang (45),-60,22,9
-54,20,10,Left-Broca-Triang (45),-56,22,8
-52,20,10,Left-Broca-Triang (45),-54,22,8
-50,20,10,Left-Broca-Triang (45),-52,22,8
-48,20,10,Left-Broca-Triang (45),-50,22,8
-60,22,10,Outside defined BAs,-62,24,9
-52,22,10,Left-Broca-Triang (45),-54,24,8
-50,22,10,Left-Broca-Triang (45),-52,24,8
-46,22,10,Left-Broca-Triang (45),-48,24,8
-60,24,10,Outside defined BAs,-62,26,9
-54,24,10,Left-Broca-Triang (45),-56,26,9
-48,24,10,Left-Broca-Triang (45),-50,26,9
-60,26,10,Outside defined BAs,-62,28,9
-54,26,10,Left-Broca-Triang (45),-56,28,9
-52,26,10,Left-Broca-Triang (45),-54,28,9
-50,26,10,Left-Broca-Triang (45),-52,28,9
-60,28,10,Outside defined BAs,-62,30,9
-58,28,10,Outside defined BAs,-60,30,9
-60,6,12,Left-Broca-Operc (44),-63,9,11
-58,6,12,Left-Broca-Operc (44),-61,9,11
-62,8,12,Outside defined BAs,-65,11,11
-60,8,12,Left-Broca-Operc (44),-63,11,11
-58,8,12,Left-Broca-Operc (44),-61,11,11
-54,8,12,Left-Broca-Operc (44),-57,11,11
-60,10,12,Outside defined BAs,-63,13,11
-58,10,12,Left-Broca-Operc (44),-61,12,11
-56,10,12,Left-Broca-Operc (44),-59,12,11
-54,10,12,Left-Broca-Operc (44),-57,12,11
-52,10,12,Left-Broca-Operc (44),-55,12,11
-56,12,12,Left-Broca-Operc (44),-59,14,11
-54,12,12,Left-Broca-Operc (44),-57,14,11
-60,14,12,Outside defined BAs,-63,16,11
-58,14,12,Outside defined BAs,-61,16,11
-56,14,12,Left-Broca-Operc (44),-59,16,11
-60,16,12,Outside defined BAs,-62,18,11
-58,16,12,Left-Broca-Triang (45),-60,18,11
-56,16,12,Left-Broca-Triang (45),-58,18,11
-54,16,12,Left-Broca-Triang (45),-56,18,11
-52,16,12,Left-Broca-Operc (44),-54,18,11
-50,16,12,Left-Broca-Operc (44),-52,18,11
-48,16,12,Left-Broca-Operc (44),-50,18,11
-46,16,12,Left-Broca-Operc (44),-48,18,11
-44,16,12,Left-Broca-Operc (44),-46,18,11
-52,18,12,Left-Broca-Triang (45),-54,20,11
-50,18,12,Left-Broca-Triang (45),-52,20,11
-44,18,12,Left-Broca-Triang (45),-46,20,11
-42,18,12,Left-Broca-Triang (45),-44,20,11
-60,20,12,Outside defined BAs,-62,22,11
-58,20,12,Left-Broca-Triang (45),-60,22,11
-56,20,12,Left-Broca-Triang (45),-58,22,11
-54,20,12,Left-Broca-Triang (45),-56,22,11
-52,20,12,Left-Broca-Triang (45),-54,22,11
-50,20,12,Left-Broca-Triang (45),-52,22,11
-48,20,12,Left-Broca-Triang (45),-50,22,11
-46,20,12,Left-Broca-Triang (45),-48,22,11
-44,20,12,Left-Broca-Triang (45),-46,22,11
-60,22,12,Outside defined BAs,-62,24,11
-60,24,12,Outside defined BAs,-62,26,11
-60,26,12,Outside defined BAs,-62,28,11
-58,26,12,Outside defined BAs,-60,28,11
-56,26,12,Left-Broca-Triang (45),-58,28,11
-54,26,12,Left-Broca-Triang (45),-56,28,11
-60,6,14,Left-Broca-Operc (44),-63,8,13
-58,6,14,Left-Broca-Operc (44),-61,8,13
-62,8,14,Outside defined BAs,-65,10,13
-60,8,14,Left-Broca-Operc (44),-63,10,13
-58,8,14,Left-Broca-Operc (44),-61,10,13
-54,8,14,Left-Broca-Operc (44),-57,10,13
-60,10,14,Outside defined BAs,-63,12,13
-58,10,14,Left-Broca-Operc (44),-61,12,13
-56,10,14,Left-Broca-Operc (44),-59,12,13
-54,10,14,Left-Broca-Operc (44),-57,12,13
-52,10,14,Left-Broca-Operc (44),-55,12,13
-56,12,14,Left-Broca-Operc (44),-59,14,13
-54,12,14,Left-Broca-Operc (44),-57,14,13
-60,14,14,Outside defined BAs,-63,16,13
-58,14,14,Outside defined BAs,-61,16,13
-56,14,14,Left-Broca-Operc (44),-59,16,13
-60,16,14,Outside defined BAs,-62,18,13
-58,16,14,Left-Broca-Triang (45),-60,18,13
-56,16,14,Left-Broca-Triang (45),-58,18,13
-54,16,14,Left-Broca-Triang (45),-56,18,13
-52,16,14,Left-Broca-Operc (44),-54,18,13
-50,16,14,Left-Broca-Operc (44),-52,18,13
-48,16,14,Left-Broca-Operc (44),-50,18,13
-46,16,14,Left-Broca-Operc (44),-48,18,13
-44,16,14,Left-Broca-Operc (44),-46,18,13
-52,18,14,Left-Broca-Triang (45),-54,20,13
-50,18,14,Left-Broca-Triang (45),-52,20,13
-44,18,14,Left-Broca-Triang (45),-46,20,13
-42,18,14,Left-Broca-Triang (45),-44,20,13
-60,20,14,Left-Broca-Triang (45),-62,22,13
-58,20,14,Left-Broca-Triang (45),-60,22,13
-56,20,14,Left-Broca-Triang (45),-58,22,13
-54,20,14,Left-Broca-Triang (45),-56,22,13
-52,20,14,Left-Broca-Triang (45),-54,22,13
-50,20,14,Left-Broca-Triang (45),-52,22,13
-48,20,14,Left-Broca-Triang (45),-50,22,13
-46,20,14,Left-Broca-Triang (45),-48,22,13
-44,20,14,Left-Broca-Triang (45),-46,22,13
-60,22,14,Outside defined BAs,-62,24,13
-60,24,14,Outside defined BAs,-62,26,13
-60,26,14,Outside defined BAs,-62,28,13
-58,26,14,Outside defined BAs,-60,28,13
-56,26,14,Left-Broca-Triang (45),-58,28,13
-54,26,14,Left-Broca-Triang (45),-56,28,13
-58,4,16,Left-Broca-Operc (44),-61,6,15
-56,4,16,Left-Broca-Operc (44),-59,6,15
-54,4,16,Left-Broca-Operc (44),-57,6,15
-62,6,16,Outside defined BAs,-65,8,15
-60,6,16,Left-Broca-Operc (44),-63,8,14
-58,6,16,Left-Broca-Operc (44),-61,8,15
-62,8,16,Outside defined BAs,-65,10,15
-60,8,16,Left-Broca-Operc (44),-63,10,15
-58,8,16,Left-Broca-Operc (44),-61,10,14
