TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
-58,0,-34,Outside defined BAs,-60,5,-42
-58,2,-34,Outside defined BAs,-60,8,-42
-56,2,-34,Outside defined BAs,-58,8,-42
-54,2,-34,Outside defined BAs,-56,8,-42
-58,4,-34,Outside defined BAs,-60,10,-42
-56,4,-34,Outside defined BAs,-58,10,-42
-54,4,-34,Outside defined BAs,-56,10,-42
-52,4,-34,Outside defined BAs,-54,10,-42
-50,4,-34,Outside defined BAs,-51,10,-42
-58,6,-34,Outside defined BAs,-60,12,-42
-56,6,-34,Outside defined BAs,-58,12,-42
-54,6,-34,Outside defined BAs,-56,12,-42
-52,6,-34,Outside defined BAs,-53,12,-42
-50,6,-34,Outside defined BAs,-51,12,-42
-48,6,-34,Outside defined BAs,-49,12,-42
-60,-2,-32,Outside defined BAs,-62,3,-40
-56,-2,-32,Outside defined BAs,-58,3,-40
-60,0,-32,Outside defined BAs,-62,5,-40
-58,0,-32,Outside defined BAs,-60,5,-40
-56,0,-32,Outside defined BAs,-58,5,-40
-54,0,-32,Outside defined BAs,-56,5,-40
-52,0,-32,Outside defined BAs,-54,5,-40
-60,2,-32,Outside defined BAs,-62,8,-40
-58,2,-32,Outside defined BAs,-60,8,-40
-56,2,-32,Outside defined BAs,-58,8,-40
-54,2,-32,Outside defined BAs,-56,8,-40
-52,2,-32,Outside defined BAs,-54,8,-40
-50,2,-32,Outside defined BAs,-52,8,-40
-48,2,-32,Outside defined BAs,-49,8,-40
-46,2,-32,Left-InfTempGyrus (20),-47,8,-40
-60,4,-32,Outside defined BAs,-62,10,-39
-58,4,-32,Outside defined BAs,-60,10,-40
-56,4,-32,Outside defined BAs,-58,10,-40
-54,4,-32,Outside defined BAs,-56,10,-40
-52,4,-32,Outside defined BAs,-54,10,-40
-50,4,-32,Outside defined BAs,-51,10,-40
-48,4,-32,Outside defined BAs,-49,10,-40
-46,4,-32,Outside defined BAs,-47,10,-40
-44,4,-32,Left-Temporalpole (38),-45,10,-40
-42,4,-32,Left-Temporalpole (38),-43,10,-41
-40,4,-32,Left-Temporalpole (38),-41,10,-40
-58,6,-32,Outside defined BAs,-60,12,-39
-56,6,-32,Outside defined BAs,-58,12,-40
-54,6,-32,Outside defined BAs,-56,12,-40
-52,6,-32,Outside defined BAs,-54,12,-40
-50,6,-32,Outside defined BAs,-51,12,-40
-48,6,-32,Outside defined BAs,-49,12,-40
-46,6,-32,Outside defined BAs,-47,12,-40
-44,6,-32,Outside defined BAs,-45,12,-40
-42,6,-32,Left-Temporalpole (38),-43,12,-40
-40,6,-32,Left-Temporalpole (38),-41,12,-40
-38,6,-32,Left-Temporalpole (38),-38,12,-40
-36,6,-32,Left-Temporalpole (38),-36,12,-40
-60,-2,-30,Outside defined BAs,-62,3,-37
-56,-2,-30,Outside defined BAs,-58,3,-38
-54,-2,-30,Outside defined BAs,-56,3,-38
-52,-2,-30,Outside defined BAs,-54,3,-38
-50,-2,-30,Left-InfTempGyrus (20),-52,3,-38
-48,-2,-30,Left-InfTempGyrus (20),-51,2,-38
-46,-2,-30,Left-InfTempGyrus (20),-48,2,-38
-44,-2,-30,Left-InfTempGyrus (20),-46,2,-38
-60,0,-30,Outside defined BAs,-62,5,-37
-58,0,-30,Outside defined BAs,-60,5,-37
-56,0,-30,Outside defined BAs,-58,5,-37
-54,0,-30,Outside defined BAs,-56,5,-38
-52,0,-30,Left-Temporalpole (38),-54,5,-38
-50,0,-30,Left-Temporalpole (38),-52,5,-38
-48,0,-30,Left-InfTempGyrus (20),-50,5,-38
-46,0,-30,Left-InfTempGyrus (20),-48,5,-38
-44,0,-30,Left-InfTempGyrus (20),-45,5,-38
-42,0,-30,Left-Temporalpole (38),-43,5,-38
-40,0,-30,Left-Temporalpole (38),-41,5,-38
-60,2,-30,Outside defined BAs,-62,8,-37
-58,2,-30,Outside defined BAs,-60,8,-37
-56,2,-30,Outside defined BAs,-58,8,-37
-54,2,-30,Outside defined BAs,-56,8,-37
-52,2,-30,Outside defined BAs,-54,8,-38
-50,2,-30,Left-Temporalpole (38),-52,8,-38
-48,2,-30,Left-Temporalpole (38),-50,8,-38
-46,2,-30,Left-InfTempGyrus (20),-47,8,-38
-44,2,-30,Left-Temporalpole (38),-45,8,-38
-42,2,-30,Left-Temporalpole (38),-43,8,-38
-40,2,-30,Left-Temporalpole (38),-41,8,-38
-38,2,-30,Left-Temporalpole (38),-39,8,-38
-60,4,-30,Outside defined BAs,-62,10,-37
-58,4,-30,Outside defined BAs,-60,10,-37
-56,4,-30,Outside defined BAs,-58,10,-37
-54,4,-30,Outside defined BAs,-56,10,-37
-52,4,-30,Outside defined BAs,-54,10,-37
-50,4,-30,Outside defined BAs,-52,10,-38
-48,4,-30,Outside defined BAs,-49,10,-38
-46,4,-30,Left-Temporalpole (38),-47,10,-38
-44,4,-30,Left-Temporalpole (38),-45,10,-38
-42,4,-30,Left-Temporalpole (38),-43,10,-38
-40,4,-30,Left-Temporalpole (38),-41,10,-38
-38,4,-30,Left-Temporalpole (38),-39,10,-38
-58,6,-30,Outside defined BAs,-60,12,-37
-56,6,-30,Outside defined BAs,-58,12,-37
-54,6,-30,Outside defined BAs,-56,12,-37
-52,6,-30,Outside defined BAs,-54,12,-37
-50,6,-30,Left-Temporalpole (38),-51,12,-37
-48,6,-30,Left-Temporalpole (38),-49,12,-37
-46,6,-30,Outside defined BAs,-47,12,-38
-44,6,-30,Left-Temporalpole (38),-45,12,-38
-42,6,-30,Left-Temporalpole (38),-43,12,-38
-40,6,-30,Left-Temporalpole (38),-41,12,-38
-38,6,-30,Left-Temporalpole (38),-39,12,-38
-36,6,-30,Left-Temporalpole (38),-36,12,-38
-58,8,-30,Outside defined BAs,-60,14,-37
-56,8,-30,Outside defined BAs,-58,14,-37
-54,8,-30,Outside defined BAs,-56,14,-37
-62,-4,-28,Outside defined BAs,-65,1,-35
-50,-4,-28,Left-InfTempGyrus (20),-52,0,-36
-48,-4,-28,Left-InfTempGyrus (20),-50,0,-36
-46,-4,-28,Left-InfTempGyrus (20),-48,0,-36
-44,-4,-28,Left-InfTempGyrus (20),-46,0,-36
-42,-4,-28,Left-InfTempGyrus (20),-44,0,-36
-40,-4,-28,Left-InfTempGyrus (20),-41,0,-36
-62,-2,-28,Outside defined BAs,-64,3,-35
-60,-2,-28,Outside defined BAs,-62,3,-35
-58,-2,-28,Outside defined BAs,-60,3,-35
-56,-2,-28,Left-Temporalpole (38),-58,3,-35
-54,-2,-28,Left-Temporalpole (38),-56,2,-35
-52,-2,-28,Left-Temporalpole (38),-54,2,-35
-50,-2,-28,Left-Temporalpole (38),-52,2,-36
-48,-2,-28,Left-InfTempGyrus (20),-50,2,-36
-46,-2,-28,Left-InfTempGyrus (20),-48,2,-36
-44,-2,-28,Left-InfTempGyrus (20),-46,2,-36
-42,-2,-28,Left-InfTempGyrus (20),-43,2,-36
-40,-2,-28,Left-InfTempGyrus (20),-41,2,-36
-62,0,-28,Outside defined BAs,-64,5,-35
-60,0,-28,Outside defined BAs,-62,5,-35
